MDS1,MDS2,pval,annotation,tool
4.530688351056035e-4,0.2839272933703877,0.16483516483516483,1433,Virulence Genes
0,0,1,A0JC82,Virulence Genes
8.914001002169408e-5,0.5965145192681757,9.99000999000999e-4,A0ST41,Virulence Genes
-0.004483979642890878,0.7385604393944876,9.99000999000999e-4,A0ST42,Virulence Genes
-2.2331339806392638e-4,0.6587191899161375,9.99000999000999e-4,A0ST43,Virulence Genes
-7.053214909071214e-4,-0.8118746903830719,9.99000999000999e-4,A0ST44,Virulence Genes
-3.327610717264343e-4,0.3360322040928095,0.06793206793206794,A0ST45,Virulence Genes
-5.492446233715774e-4,-0.4123059104796787,0.02097902097902098,A0ST46,Virulence Genes
1.1162540338903463e-4,-0.266607933708245,0.2137862137862138,A0SXQ6,Virulence Genes
-5.487811900819536e-5,0.36907287640176817,0.07392607392607392,A0ZT55,Virulence Genes
-8.857922292547317e-4,-0.5963631263791239,0.001998001998001998,A1CIY3,Virulence Genes
-1.497768363734503e-4,0.3661458880191055,0.03396603396603397,A1CIY4,Virulence Genes
3.2785084804066376e-4,-0.22738835568054847,0.35364635364635366,A3F9N0,Virulence Genes
4.5132532674225686e-5,0.23318931503802823,0.31368631368631367,A3GFA7,Virulence Genes
1.211347619606792e-4,0.3177398639339866,0.10789210789210789,A3GHZ3,Virulence Genes
4.314784194825738e-5,0.31740244043499766,0.11688311688311688,A3KLI8,Virulence Genes
-7.315175440265222e-5,-0.41833817755176717,0.015984015984015984,A3LNY8,Virulence Genes
0.0026836455784262055,0.5784663189955985,9.99000999000999e-4,A3LQC4,Virulence Genes
-1.0076549870839168e-4,-0.1926977905693585,0.34165834165834164,A3LQE7,Virulence Genes
0.0011513302517749022,0.6080566698849438,9.99000999000999e-4,A3LRF3,Virulence Genes
-9.360831947642145e-5,0.3621849462998617,0.04795204795204795,A3LRS6,Virulence Genes
0.004623434125182559,-0.911149179529988,9.99000999000999e-4,A3LS85,Virulence Genes
6.299358257154169e-4,-0.3555000031651546,0.04595404595404595,A3LTI2,Virulence Genes
-1.5123990984195238e-4,-0.13957016866869737,0.7642357642357642,A3LUV9,Virulence Genes
-9.923270321884412e-5,-0.19363153134879382,0.32667332667332666,A3LVN8,Virulence Genes
1.57881500414295e-4,0.20625096240251667,0.4385614385614386,A3LXC4,Virulence Genes
6.202650454762593e-4,-0.5444435328069696,9.99000999000999e-4,A3LXZ6,Virulence Genes
-3.708345229785927e-4,-0.788118085918486,9.99000999000999e-4,A4QPV0,Virulence Genes
-0.009929012521445398,0.9786112222313157,9.99000999000999e-4,A4QRN5,Virulence Genes
-6.986355975366793e-5,-0.32146304109271046,0.08291708291708291,A4QRX6,Virulence Genes
0,0,1,A4QSA8,Virulence Genes
4.859822699117529e-4,0.7001831158550196,9.99000999000999e-4,A4QT57,Virulence Genes
1.6344300412682352e-4,0.49135460771521733,0.005994005994005994,A4QTS1,Virulence Genes
-1.2470620918604675e-4,-0.24380825461968145,0.23076923076923078,A4QV79,Virulence Genes
0,0,1,A4QVA7,Virulence Genes
-0.9952915398283094,0.09692649919769392,9.99000999000999e-4,A4QVB5,Virulence Genes
0,0,1,A4QVD7,Virulence Genes
-8.794277419680128e-4,-0.8602996065367127,9.99000999000999e-4,A4QVF8,Virulence Genes
-5.487811900819536e-5,0.36907287640176817,0.07392607392607392,A4R0W3,Virulence Genes
3.1727804870845745e-4,-0.5305833563665546,0.001998001998001998,A4R0Y1,Virulence Genes
1.305320034208823e-4,0.18173260377975725,0.44255744255744256,A4R178,Virulence Genes
-2.7138874154726615e-9,0.028396790919469304,0.958041958041958,A4R1F0,Virulence Genes
0,0,1,A4R2P0,Virulence Genes
0,0,1,A4R2T0,Virulence Genes
0,0,1,A4R2T9,Virulence Genes
4.702658680131421e-4,0.8878243308246068,9.99000999000999e-4,A4R2V5,Virulence Genes
-1.859992601020002e-4,0.25755341644231255,0.23176823176823177,A4R3H7,Virulence Genes
