ORF_ID,Resistance_Mechanism,ID,genome
EGR44033.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|191|hsp_num:0,GCA_000167675
EGR44077.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR44089.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_000167675
EGR44123.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|460|hsp_num:0,GCA_000167675
EGR44130.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|1915|hsp_num:0,GCA_000167675
EGR44131.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_000167675
EGR44133.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_000167675
EGR44136.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|2310|hsp_num:0,GCA_000167675
"EGR44151.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|2553|hsp_num:0,GCA_000167675
EGR44153.1 histidine kinase [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1244|hsp_num:0,GCA_000167675
EGR44156.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR44175.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|2085|hsp_num:0,GCA_000167675
"EGR44181.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,GCA_000167675
EGR44182.1 predicted protein [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|810|hsp_num:0,GCA_000167675
EGR44197.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR44229.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2342|hsp_num:0,GCA_000167675
EGR44243.1 hypothetical protein TRIREDRAFT_70795 [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|1222|hsp_num:0,GCA_000167675
EGR44313.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR44442.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_000167675
EGR44446.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_000167675
EGR44451.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR44465.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|1975|hsp_num:0,GCA_000167675
EGR44474.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|733|hsp_num:0,GCA_000167675
EGR44499.1 translation release factor eRF3 [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|2145|hsp_num:0,GCA_000167675
EGR44509.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|911|hsp_num:0,GCA_000167675
EGR44517.1 predicted protein [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|2556|hsp_num:0,GCA_000167675
EGR44518.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_000167675
EGR44589.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|1260|hsp_num:0,GCA_000167675
"EGR44597.1 carbohydrate esterase family 3, partial [Trichoderma reesei QM6a]",antibiotic inactivation,gnl|BL_ORD_ID|66|hsp_num:0,GCA_000167675
EGR44624.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_000167675
EGR44645.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,GCA_000167675
EGR44682.1 maltose permease [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1531|hsp_num:0,GCA_000167675
EGR44697.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR44699.1 predicted protein [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|2560|hsp_num:0,GCA_000167675
EGR44701.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|347|hsp_num:0,GCA_000167675
EGR44741.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR44744.1 glycoside hydrolase family 16 [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,GCA_000167675
EGR44751.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|614|hsp_num:0,GCA_000167675
EGR44752.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,GCA_000167675
EGR44779.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,GCA_000167675
EGR44803.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|608|hsp_num:0,GCA_000167675
EGR44835.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|677|hsp_num:0,GCA_000167675
EGR44878.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1065|hsp_num:0,GCA_000167675
EGR44879.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|2310|hsp_num:0,GCA_000167675
EGR44881.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
"EGR44886.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,GCA_000167675
EGR44957.1 hypothetical protein TRIREDRAFT_81822 [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|2112|hsp_num:0,GCA_000167675
EGR45118.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1352|hsp_num:0,GCA_000167675
"EGR45130.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|2244|hsp_num:0,GCA_000167675
EGR45181.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR45188.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1141|hsp_num:0,GCA_000167675
EGR45196.1 predicted protein [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|2559|hsp_num:0,GCA_000167675
EGR45197.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|2310|hsp_num:0,GCA_000167675
EGR45203.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_000167675
EGR45281.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|609|hsp_num:0,GCA_000167675
EGR45286.1 predicted protein [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|917|hsp_num:0,GCA_000167675
EGR45330.1 predicted protein [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|1222|hsp_num:0,GCA_000167675
EGR45462.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2552|hsp_num:0,GCA_000167675
EGR45526.1 dimethyladenosine transferase-like protein [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|97|hsp_num:0,GCA_000167675
EGR45657.1 predicted protein [Trichoderma reesei QM6a],antibiotic target protection,gnl|BL_ORD_ID|2560|hsp_num:0,GCA_000167675
EGR45679.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1125|hsp_num:0,GCA_000167675
EGR45767.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_000167675
EGR45790.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1103|hsp_num:0,GCA_000167675
EGR45806.1 predicted protein [Trichoderma reesei QM6a],antibiotic target alteration,gnl|BL_ORD_ID|2112|hsp_num:0,GCA_000167675
EGR45854.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2228|hsp_num:0,GCA_000167675
"EGR45862.1 predicted protein, partial [Trichoderma reesei QM6a]",antibiotic efflux,gnl|BL_ORD_ID|854|hsp_num:0,GCA_000167675
EGR45959.1 abc transporter [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2241|hsp_num:0,GCA_000167675
EGR46001.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|2302|hsp_num:0,GCA_000167675
EGR46003.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|2263|hsp_num:0,GCA_000167675
EGR46027.1 predicted protein [Trichoderma reesei QM6a],antibiotic inactivation,gnl|BL_ORD_ID|751|hsp_num:0,GCA_000167675
EGR46047.1 predicted protein [Trichoderma reesei QM6a],antibiotic efflux,gnl|BL_ORD_ID|1141|hsp_num:0,GCA_000167675
