Gene	Phobius	MobiDBLite	TMHMM	PRINTS	SFLD	PANTHER	interpro	GO	PATHWAY	TIGRFAM	ProSitePatterns	Gene3D	SUPERFAMILY	Pfam	CDD	SMART	ProSiteProfiles	Hamap	SignalP_EUK	SignalP_GRAM_POSITIVE	Coils	PIRSF	SignalP_GRAM_NEGATIVE	ProDom
augustus_masked-NODE_9_length_360801_cov_59.734333-processed-gene-2.6-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	PR00119;PR00121	SFLDS00003;SFLDF00027	PTHR24093:SF346;PTHR24093	IPR006408	GO:0005388;GO:0005524;GO:0016020;GO:0070588;GO:0016021;GO:0000166	Reactome: R-HSA-418359|Reactome: R-HSA-5578775|Reactome: R-HSA-936837	TIGR01517;TIGR01494	PS00154	G3DSA:1.20.1110.10;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.10	SSF81665;SSF56784;SSF81653	PF00689;PF00690;PF00122;PF08282;PF13246	cd02081	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_360801_cov_59.734333-processed-gene-1.17-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR13009;PTHR13009:SF8	IPR039981	GO:0001671;GO:0051879;GO:0051087	NA	NA	NA	G3DSA:3.15.10.20;G3DSA:3.30.530.20	SSF55961;SSF103111	PF08327;PF09229	cd08892	SM01000	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_120_length_92544_cov_58.890918-augustus-gene-0.6-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR15422:SF24;PTHR15422	IPR006593	NA	NA	NA	NA	G3DSA:1.20.120.1770	NA	PF03188	cd08761	SM00665	PS50939	NA	NA	NA	NA	NA	NA	NA
maker-NODE_63_length_152677_cov_59.817214-augustus-gene-0.12-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR43178;PTHR43178:SF5	IPR036625	GO:0016746	Reactome: R-HSA-389661	NA	PS00189	G3DSA:3.30.559.10;G3DSA:4.10.320.10;G3DSA:2.40.50.100	SSF47005;SSF52777;SSF51230	PF02817;PF00198;PF00364	cd06849	NA	PS50968;PS51826	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_366918_cov_58.761630-augustus-gene-0.28-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR11722	IPR018256	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS01104	NA	NA	PF01294	NA	NA	NA	MF_00499	NA	NA	NA	NA	NA	NA
maker-NODE_36_length_197924_cov_54.183243-augustus-gene-0.52-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR31645:SF0;PTHR31645	IPR004813	GO:0055085;GO:0005515	NA	TIGR00728	NA	NA	SSF50978	PF12234;PF03169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_360801_cov_59.734333-augustus-gene-0.29-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	NA	PTHR13878;PTHR13878:SF70	IPR036318	GO:0050660;GO:0071949;GO:0016491;GO:0055114	NA	NA	NA	G3DSA:3.30.465.40;G3DSA:3.30.465.50	SSF56176	PF01565;PF08031	NA	NA	PS51257;PS51387	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_250_length_20995_cov_52.364242-processed-gene-0.5-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR11685:SF126;PTHR11685	IPR002867	GO:0004842;GO:0016567	NA	NA	NA	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	SSF57850	PF01485	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_179_length_56799_cov_57.648027-processed-gene-0.9-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR11937:SF13;PTHR11937	IPR004000	GO:0006338;GO:0031011	Reactome: R-HSA-5689603|Reactome: R-HSA-5696394	NA	NA	G3DSA:3.30.420.40;G3DSA:3.30.420.580;G3DSA:3.90.640.10	SSF53067	PF00022	NA	SM00268	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_283279_cov_54.252907-augustus-gene-1.10-mRNA-1	NA	NA	NA	NA	NA	PTHR12705	IPR020796	GO:0000808;GO:0005634;GO:0006260	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	G3DSA:3.40.50.300	SSF52540	PF14630;PF13191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
