Gene	MobiDBLite	interpro	Pfam	CDD	ProSiteProfiles	GO	SUPERFAMILY	SMART	Gene3D	PANTHER	PATHWAY	PIRSF	ProSitePatterns	Phobius	TMHMM	PRINTS	Coils	Hamap	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	TIGRFAM	ProDom	SFLD
maker-NODE_20_length_128378_cov_39.051306-snap-gene-0.267-mRNA-1	mobidb-lite	IPR014012	PF07529;PF13921	cd00167	PS50090;PS51204	GO:0003677	SSF46689	SM00717;SM00573	G3DSA:1.10.10.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_376_length_24978_cov_22.124583-snap-gene-0.35-mRNA-1	NA	IPR015433	PF00792;PF00613;PF00454	cd00870;cd00896;cd08397	PS50290;PS51547;PS51545	GO:0046854;GO:0048015;GO:0016303;GO:0016301	SSF49562;SSF48371;SSF56112	SM00145;SM00146	G3DSA:1.10.1070.11;G3DSA:3.30.1010.10;G3DSA:1.25.40.70	PTHR10048:SF7;PTHR10048	Reactome: R-HSA-1660499	PIRSF000587	PS00915;PS00916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_376_length_24978_cov_22.124583-snap-gene-0.36-mRNA-1	NA	IPR015433	PF00792;PF00613;PF00454	cd00870;cd00896;cd08397	PS50290;PS51547;PS51545	GO:0046854;GO:0048015;GO:0016303;GO:0016301	SSF49562;SSF48371;SSF56112	SM00145;SM00146	G3DSA:1.10.1070.11;G3DSA:3.30.1010.10;G3DSA:1.25.40.70	PTHR10048:SF7;PTHR10048	Reactome: R-HSA-1660499	PIRSF000587	PS00915;PS00916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_56_length_89837_cov_37.612529-processed-gene-0.152-mRNA-1	mobidb-lite	IPR011701	PF07690	cd06174	NA	GO:0016021;GO:0055085;GO:0005215	SSF103473	NA	NA	PTHR23507;PTHR23507:SF1	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	PR01035	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_772_length_4089_cov_26.427057-snap-gene-0.4-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_213125_cov_36.036690-snap-gene-0.103-mRNA-1	mobidb-lite	IPR023631	PF01425	NA	NA		SSF75304	NA	G3DSA:3.90.1300.10	PTHR42678;PTHR42678:SF2	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_249_length_40381_cov_35.993144-processed-gene-0.115-mRNA-1	mobidb-lite	IPR008913	PF05495	NA	PS51266	GO:0008270	SSF161219	NA	NA	PTHR21319:SF6;PTHR21319	Reactome: R-HSA-110320|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_66_length_84628_cov_38.759151-snap-gene-0.57-mRNA-1	NA	IPR001680	PF00400	NA	PS50082;PS50294	GO:0005515	SSF50978	SM00320	G3DSA:2.130.10.10	PTHR19854:SF1;PTHR19854	NA	NA	PS00678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_440_length_19171_cov_30.482199-processed-gene-0.27-mRNA-1	mobidb-lite	IPR002110	PF12796	cd00204	PS50088;PS50297	GO:0005515	SSF48403	SM00248	NA	PTHR24149:SF1;PTHR24149	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_241_length_41002_cov_35.761419-augustus-gene-0.17-mRNA-1	NA	IPR000672	PF01268;PF00763;PF02882	cd00477;cd01080	NA	GO:0004488;GO:0055114;GO:0003824;GO:0004329;GO:0005524	SSF52540;SSF53223;SSF51735	NA	G3DSA:3.40.50.720;G3DSA:3.10.410.10;G3DSA:3.40.50.10860;G3DSA:1.10.8.770	PTHR43274	KEGG: 00670+1.5.1.5+3.5.4.9|KEGG: 00720+1.5.1.5+3.5.4.9|MetaCyc: PWY-1722|MetaCyc: PWY-2201|MetaCyc: PWY-3841|MetaCyc: PWY-5030|MetaCyc: PWY-5497|MetaCyc: PWY-6613|MetaCyc: PWY-7909|Reactome: R-HSA-196757	NA	PS00767;PS00766;PS00722;PS00721	NA	NA	PR00085	NA	MF_01576;MF_01543	NA	NA	NA	NA	NA	NA
snap_masked-NODE_97_length_71585_cov_37.767220-processed-gene-0.92-mRNA-1	mobidb-lite	IPR011527	PF00005;PF00664	cd03244	PS50929;PS50893	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	SSF52540;SSF90123	SM00382	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	PTHR24223:SF240;PTHR24223	NA	NA	PS00211	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_138_length_59445_cov_39.617182-processed-gene-0.30-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_386_length_24119_cov_34.218323-processed-gene-0.23-mRNA-1	mobidb-lite	IPR009617	PF06775	NA	NA	GO:0019915	NA	NA	NA	PTHR21212;PTHR21212:SF0	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
