Gene	Gene3D	interpro	PIRSF	Pfam	CDD	MobiDBLite	GO	PATHWAY	SUPERFAMILY	TIGRFAM	ProSitePatterns	ProSiteProfiles	SMART	PRINTS	Coils	Hamap	SFLD
snap_masked-WWCI01000007.1-processed-gene-3.37-mRNA-1	G3DSA:3.40.50.12030;G3DSA:3.40.50.12020	IPR008322	PIRSF033271	PF06792	cd15488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000001.1-processed-gene-12.3-mRNA-1	NA	IPR021475	NA	PF11326	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-22.31-mRNA-1	NA	IPR005556	NA	PF03856	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-17.52-mRNA-1	NA	IPR021582	NA	PF11489	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-34.0-mRNA-1	G3DSA:2.60.40.640	IPR028934	NA	PF03643	NA	NA	GO:0006886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-9.43-mRNA-1	NA	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-23.93-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-35.14-mRNA-1	NA	IPR025124	NA	PF13259	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-50.5-mRNA-1	NA	IPR000490	NA	PF00332	NA	mobidb-lite	GO:0004553;GO:0005975	KEGG: 00500+3.2.1.39	SSF51445	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-33.69-mRNA-1	G3DSA:3.40.720.10	IPR017850	NA	PF00884;PF12411	cd16032	NA	GO:0003824;GO:0008484	NA	SSF53649	TIGR03417	PS00149	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-9.27-mRNA-1	G3DSA:3.40.50.720	IPR036291	NA	PF13460	NA	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000007.1-processed-gene-14.41-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-30.36-mRNA-1	G3DSA:1.20.120.1750;G3DSA:3.30.40.10	IPR002867	NA	PF01485	NA	mobidb-lite	NA	NA	SSF57850	NA	PS00518	PS51873;PS50089	NA	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-15.78-mRNA-1	G3DSA:2.60.120.560;G3DSA:2.115.10.20	IPR010496	NA	PF06439;PF04616	cd18827	NA	GO:0004553;GO:0005975	NA	SSF75005	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-69.35-mRNA-1	G3DSA:1.20.144.10	IPR036938	NA	PF01569	cd03390	NA	NA	NA	SSF48317	NA	NA	NA	SM00014	NA	NA	NA	NA
maker-WWCI01000003.1-augustus-gene-26.1-mRNA-1	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	IPR025110	NA	PF13193;PF00501	cd05911	NA	GO:0003824	NA	SSF56801	NA	PS00455	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000007.1-processed-gene-4.21-mRNA-1	G3DSA:2.60.11.10	IPR002124	NA	PF01215	cd00924	NA	GO:0004129;GO:0005740	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	SSF57802	NA	NA	PS51359	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-47.49-mRNA-1	G3DSA:3.40.50.720	IPR002347	NA	PF00106	NA	NA	NA	NA	SSF51735	NA	NA	NA	NA	PR00081	NA	NA	NA
maker-WWCI01000006.1-snap-gene-27.66-mRNA-1	G3DSA:3.30.1370.50	IPR000967	NA	PF01424	cd06008;cd16696	mobidb-lite	GO:0003700;GO:0005634;GO:0006355;GO:0008270;GO:0003676	NA	SSF82708	NA	PS01359	PS51061	SM00438;SM00393	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-59.2-mRNA-1	NA	IPR018535	NA	PF09362	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-23.94-mRNA-1	G3DSA:3.30.70.330	IPR009145	NA	PF00642	cd12538	mobidb-lite	GO:0000398;GO:0003723;GO:0089701;GO:0003676;GO:0046872	NA	SSF54928	NA	NA	PS50103;PS50102	SM00356	PR01848	NA	NA	NA
maker-WWCI01000007.1-snap-gene-23.85-mRNA-1	G3DSA:3.40.20.10	IPR017904	NA	PF00241	cd11286	NA	GO:0015629;GO:0030042;GO:0003779	NA	SSF55753	NA	NA	PS51263	SM00102	PR00006	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-30.15-mRNA-1	G3DSA:3.40.630.10;G3DSA:3.30.70.360	IPR017153	PIRSF037242	PF01546;PF07687	cd05676	NA	GO:0016805;GO:0006508;GO:0008237;GO:0016787	NA	SSF53187	NA	PS00759	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-28.6-mRNA-1	G3DSA:3.60.20.10	IPR024689	NA	PF12465;PF00227	cd03763	NA	GO:0004298;GO:0005839;GO:0051603;GO:0004175	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	SSF56235	NA	NA	PS51476	NA	PR00141	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-51.18-mRNA-1	G3DSA:3.40.50.300	IPR030379	PIRSF006698	PF00735	cd01850	mobidb-lite	GO:0005525	NA	SSF52540	NA	NA	PS51719	NA	NA	Coil	NA	NA
snap_masked-WWCI01000004.1-processed-gene-36.24-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-20.69-mRNA-1	G3DSA:3.30.1360.10	IPR008193	NA	PF13656	cd07029	mobidb-lite	GO:0003677;GO:0003899;GO:0006351;GO:0046983	NA	SSF55257	NA	PS01154	NA	NA	NA	Coil	NA	NA
maker-WWCI01000006.1-augustus-gene-7.49-mRNA-1	NA	IPR002889	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	PS51212	NA	PR01217	NA	NA	NA
maker-WWCI01000007.1-snap-gene-37.9-mRNA-1	G3DSA:3.10.350.10	IPR018392	NA	PF01476	cd00118	NA	NA	NA	SSF54106	NA	NA	PS51782	SM00257	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-13.48-mRNA-1	NA	IPR015366	NA	PF09286	cd04056;cd11377	NA	GO:0008236;GO:0004252;GO:0006508	Reactome: R-HSA-381038	SSF52743;SSF54897	NA	NA	PS51695	SM00944	NA	NA	NA	NA
maker-WWCI01000005.1-snap-gene-9.28-mRNA-1	G3DSA:1.20.1720.10	IPR011701	NA	PF07690	cd17502	mobidb-lite	GO:0055085	NA	SSF103473	NA	NA	PS50850	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-45.91-mRNA-1	NA	IPR001680	NA	PF00400	NA	mobidb-lite	GO:0005515	NA	SSF50978	NA	PS00678	PS50082;PS50294;PS50908	SM00320	NA	Coil	NA	NA
snap_masked-WWCI01000004.1-processed-gene-28.52-mRNA-1	G3DSA:3.20.20.300;G3DSA:3.40.50.1700;G3DSA:2.60.40.10	IPR002772	NA	PF01915;PF00933;PF14310	NA	NA	GO:0004553;GO:0005975	NA	SSF52279;SSF51445	NA	NA	NA	SM01217	PR00133	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-42.50-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000004.1-processed-gene-34.31-mRNA-1	G3DSA:3.30.1360.120;G3DSA:3.30.70.1400;G3DSA:4.10.1250.10;G3DSA:2.40.30.110	IPR027266	PIRSF006487	PF08669;PF01571	NA	NA	GO:0005515;GO:0004047;GO:0006546	KEGG: 00260+2.1.2.10|KEGG: 00670+2.1.2.10|Reactome: R-HSA-6783984	SSF103025;SSF101790	TIGR00528	NA	NA	NA	NA	NA	NA	NA
