Gene	interpro	SMART	CDD	SUPERFAMILY	Pfam	GO	ProSiteProfiles	MobiDBLite	Coils	PANTHER	ProSitePatterns	Gene3D	PATHWAY	TIGRFAM	PRINTS	TMHMM	Phobius	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD	Hamap	ProDom
KOS22336.1	IPR001841	SM00184;SM00356	cd16539	SSF57850;SSF90229	PF13920;PF00642	GO:0046872	PS50103;PS50089	mobidb-lite	Coil	PTHR12930:SF0;PTHR12930	PS00518	G3DSA:3.30.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23397.1	IPR015806	NA	cd00288	SSF52935;SSF50800;SSF51621	PF00224;PF02887	GO:0004743;GO:0006096;GO:0000287;GO:0030955;GO:0003824	NA	NA	NA	PTHR11817:SF3;PTHR11817	PS00110	G3DSA:2.40.33.10;G3DSA:3.40.1380.20;G3DSA:3.20.20.60	KEGG: 00010+2.7.1.40|KEGG: 00230+2.7.1.40|KEGG: 00620+2.7.1.40|MetaCyc: PWY-1042|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7218|MetaCyc: PWY-7383|MetaCyc: PWY-8004|Reactome: R-HSA-70171	TIGR01064	PR01050	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22291.1	IPR029071	SM00594	NA	SSF54236;SSF52833;SSF46934	PF14555;PF00789	GO:0005515	NA	mobidb-lite	Coil	PTHR23322:SF1;PTHR23322	NA	G3DSA:3.40.30.10;G3DSA:3.10.20.90;G3DSA:1.10.8.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17999.1	IPR000198	SM00324;SM00055	cd04399	SSF48350;SSF46785;SSF103657	PF00620;PF00610;PF00611	GO:0007165;GO:0035556	PS51741;PS50186;PS50238	mobidb-lite	Coil	PTHR23065;PTHR23065:SF17	NA	G3DSA:1.20.1270.60;G3DSA:1.10.555.10	Reactome: R-HSA-194840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20746.1	IPR029008	NA	NA	NA	PF07019	GO:0005783;GO:0016021;GO:0072546	NA	NA	NA	PTHR20994:SF0;PTHR20994	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS22032.1	IPR013087	SM00451;SM00355	NA	SSF57667	PF12874;PF12756	GO:0003676;GO:0008270	NA	mobidb-lite	NA	PTHR13182;PTHR13182:SF8	PS00028	G3DSA:3.30.160.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16635.1	IPR014722	NA	cd13156	SSF50104	PF01159	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	NA	PTHR10715:SF0;PTHR10715	NA	G3DSA:2.30.30.30	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23445.1	IPR030671	NA	NA	NA	PF03911	GO:0005784;GO:0006886	NA	mobidb-lite	NA	PTHR13509;PTHR13509:SF3	NA	NA	Reactome: R-HSA-1236974|Reactome: R-HSA-1799339|Reactome: R-HSA-381038	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PIRSF006398	NA	NA	NA	NA	NA	NA
KOS16863.1	IPR005065	NA	NA	SSF53474	PF03403	GO:0003847;GO:0016042	NA	mobidb-lite	NA	PTHR10272;PTHR10272:SF11	NA	G3DSA:3.40.50.1820	KEGG: 00565+3.1.1.47	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS17920.1	IPR018201	SM00825	cd00834	SSF53901	PF00109;PF02801	GO:0006633;GO:0016747;GO:0003824	NA	NA	NA	PTHR11712:SF299;PTHR11712	PS00606	G3DSA:3.40.47.10	NA	TIGR03150	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	PIRSF000447	NA	NA	NA	NA	NA	NA
KOS18541.1	IPR016135	SM00847;SM00490;SM00487	cd00079;cd00046	SSF46934;SSF52540;SSF54495;SSF54768	PF07717;PF00270;PF05773;PF04408;PF00271	GO:0003676;GO:0005524;GO:0005515;GO:0004386	PS51192;PS51194	mobidb-lite	Coil	PTHR18934;PTHR18934:SF145	PS00690	G3DSA:3.10.110.10;G3DSA:3.40.50.300;G3DSA:1.20.120.1080	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
