Gene	MobiDBLite	Coils	PANTHER	interpro	GO	Pfam	Gene3D	TMHMM	Phobius	ProSiteProfiles	SMART	ProSitePatterns	SUPERFAMILY	CDD	PATHWAY	SignalP_EUK	SignalP_GRAM_POSITIVE	PRINTS	TIGRFAM	PIRSF	SignalP_GRAM_NEGATIVE	Hamap	SFLD	ProDom
maker-NQYS01000004.1-augustus-gene-4.11-mRNA-1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-11.0-mRNA-1	mobidb-lite	Coil	PTHR19336:SF9;PTHR19336	IPR024957	GO:0008017	PF06657;PF14197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-24.10-mRNA-1	NA	NA	PTHR24221;PTHR24221:SF288	IPR036640	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	PF00664;PF00005	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PS50929;PS50893	SM00382	PS00211	SSF90123;SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-8.21-mRNA-1	NA	NA	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-40.25-mRNA-1	mobidb-lite	NA	PTHR43302:SF5;PTHR43302	IPR036047	GO:0005515;GO:0015105;GO:0015700;GO:0016021	PF02040;PF00646;PF00023;PF13637	G3DSA:1.25.40.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS50297;PS50088;PS50181	SM00248	NA	SSF81383;SSF48403	cd00204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-11.7-mRNA-1	mobidb-lite	NA	PTHR23502;PTHR23502:SF7	IPR020846	GO:0005215;GO:0016021;GO:0055085	PF07690	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PS50850	NA	PS00216	SSF103473	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-13.31-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-11.3-mRNA-1	mobidb-lite	NA	PTHR19241:SF179;PTHR19241	IPR003439	GO:0005524;GO:0016887;GO:0016020;GO:0016021;GO:0042626;GO:0055085	PF00005;PF01061;PF06422;PF14510	G3DSA:3.40.50.300	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS50893	SM00382	PS00211	SSF52540	cd03232;cd03233	Reactome: R-HSA-1369062	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-6.25-mRNA-1	mobidb-lite	Coil	PTHR11352;PTHR11352:SF3	IPR026859	GO:0017022	PF12632	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-0.24-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-49.17-mRNA-1	mobidb-lite	Coil	PTHR12832:SF18;PTHR12832	IPR008862	NA	PF05794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-7.29-mRNA-1	NA	NA	PTHR32251:SF21;PTHR32251	IPR010721	NA	PF06966	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
