Gene	MobiDBLite	Phobius	Gene3D	interpro	ProSiteProfiles	Pfam	PANTHER	SUPERFAMILY	CDD	GO	PATHWAY	Coils	ProDom	SMART	TMHMM	ProSitePatterns	SignalP_GRAM_NEGATIVE	SignalP_EUK	SignalP_GRAM_POSITIVE	SFLD	PRINTS	Hamap	PIRSF	TIGRFAM
augustus_masked-NQYQ01000018.1-processed-gene-4.20-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	G3DSA:2.60.40.1170;G3DSA:3.30.450.60	IPR028565	PS51072	PF01217;PF00928	PTHR10121:SF0;PTHR10121	SSF64356;SSF49447	cd09254	GO:0006890;GO:0030126	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000002.1-processed-gene-6.12-mRNA-1	mobidb-lite	NA	G3DSA:1.10.8.10;G3DSA:1.10.238.10	IPR011992	PS50031;PS50222;PS50030	PF12763;PF00627	PTHR11216:SF61;PTHR11216	SSF47473;SSF46934	cd00052	GO:0005515;GO:0005509	NA	Coil	PD936484	SM00027;SM00165;SM00054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000011.1-augustus-gene-0.10-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	PTHR12751;PTHR12751:SF18	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000011.1-processed-gene-7.9-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR029164	NA	PF15159	PTHR39400	NA	NA		Reactome: R-HSA-162710	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000008.1-processed-gene-2.17-mRNA-1	NA	NA	G3DSA:2.40.110.10;G3DSA:1.20.140.10;G3DSA:1.10.540.10;G3DSA:3.10.120.10	IPR006089	PS50255	PF02770;PF00441;PF02771;PF00173	PTHR43604;PTHR43604:SF3	SSF55856;SSF56645;SSF47203	NA	GO:0003995;GO:0055114;GO:0016627;GO:0050660;GO:0020037	NA	NA	NA	SM01117	NA	PS00072;PS00191	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000034.1-augustus-gene-0.4-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	G3DSA:3.40.30.10	IPR036249	NA	PF04756	PTHR12692:SF0;PTHR12692	SSF52833	NA	NA	NA	NA	NA	NA	TMhelix	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
maker-NQYQ01000025.1-augustus-gene-1.35-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.10.600.10	IPR008949	NA	PF00494	PTHR31480;PTHR31480:SF0	SSF48576	NA	GO:0009058;GO:0016740	Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	NA	NA	NA	TMhelix	NA	NA	NA	NA	SFLDG01018;SFLDG01212	NA	NA	NA	NA
maker-NQYQ01000001.1-augustus-gene-22.13-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	IPR036640	PS50929;PS50893	PF00005;PF00664	PTHR24223	SSF52540;SSF90123	cd03244;cd03250	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	NA	NA	NA	SM00382	TMhelix	PS00211	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000039.1-processed-gene-0.21-mRNA-1	NA	NA	G3DSA:4.10.240.10	IPR001138	PS50048	PF00172;PF04082	PTHR31944:SF115;PTHR31944	SSF57701	cd12148;cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	NA	NA	SM00066;SM00906	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000028.1-augustus-gene-1.91-mRNA-1	mobidb-lite	NA	G3DSA:1.10.260.40	IPR001387	PS50943	PF08523;PF01381	PTHR10245:SF15;PTHR10245	SSF47413	cd00093	GO:0043565;GO:0003677	NA	NA	NA	SM00530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
