Gene	interpro	GO	PATHWAY	Pfam	MobiDBLite	Gene3D	PANTHER	Coils	ProSiteProfiles	SMART	ProSitePatterns	CDD	SUPERFAMILY	Phobius	TMHMM	PRINTS	ProDom	TIGRFAM	Hamap	SignalP_GRAM_POSITIVE	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD
maker-NODE_292_length_38176_cov_43.831191-augustus-gene-0.8-mRNA-1	IPR032460		Reactome: R-HSA-109688|Reactome: R-HSA-159231|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	PF11935	mobidb-lite	G3DSA:1.25.10.10	PTHR15245;PTHR15245:SF20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_85_length_147426_cov_41.959090-augustus-gene-0.9-mRNA-1	IPR004827	GO:0003700;GO:0006355	NA	PF07716	mobidb-lite	G3DSA:1.20.5.170	PTHR13044;PTHR13044:SF14	Coil	PS50217	SM00338	PS00036	cd14705	SSF57959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_210_length_64187_cov_46.390228-processed-gene-0.12-mRNA-1	IPR018972		Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PF09368;PF04000	mobidb-lite	NA	PTHR13237;PTHR13237:SF8	Coil	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_277966_cov_46.276628-processed-gene-1.34-mRNA-1	IPR020846	GO:0016021;GO:0055085	NA	PF07690	mobidb-lite	G3DSA:1.20.1250.20	PTHR11360;PTHR11360:SF120	NA	NA	NA	NA	cd06174	SSF103473	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_50_length_192177_cov_45.347456-augustus-gene-0.49-mRNA-1	IPR013087	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	mobidb-lite	G3DSA:3.30.160.60	PTHR40626;PTHR40626:SF4	NA	PS50157	SM00355	PS00028	cd12148	SSF57667	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_434743_cov_44.004834-augustus-gene-0.17-mRNA-1	IPR017981	GO:0004888;GO:0007166;GO:0016021;GO:0004930;GO:0007186	NA	PF00002	mobidb-lite	G3DSA:1.20.1070.10	PTHR23112;PTHR23112:SF22	NA	PS50261	NA	NA	NA	SSF81321	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	PR02001	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_32_length_231395_cov_40.853784-processed-gene-1.18-mRNA-1	IPR018200	GO:0006511;GO:0036459;GO:0016579	NA	PF00443	mobidb-lite	G3DSA:3.90.70.10	PTHR44509	NA	PS50235	NA	PS00973;PS00972	NA	SSF54001	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_475_length_6594_cov_46.796660-augustus-gene-0.0-mRNA-1	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	PF02535	mobidb-lite	NA	PTHR16950:SF16;PTHR16950	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_448038_cov_36.051550-processed-gene-3.16-mRNA-1	IPR001268	GO:0008137;GO:0055114;GO:0016651	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PF00329	mobidb-lite	G3DSA:3.30.460.80	PTHR10884:SF10;PTHR10884	NA	NA	NA	PS00542	NA	SSF143243	NA	NA	NA	PD001581	TIGR01961	MF_01357	NA	NA	NA	NA	NA
augustus_masked-NODE_197_length_71240_cov_48.074206-processed-gene-0.21-mRNA-1	IPR036291	GO:0016491	NA	PF13561	NA	G3DSA:3.40.50.720	PTHR42760:SF39;PTHR42760	NA	NA	NA	PS00061	NA	SSF51735	NA	NA	PR00081;PR00080	NA	NA	NA	NA	NA	NA	NA	NA
