Gene	MobiDBLite	TMHMM	interpro	GO	Pfam	Phobius	SUPERFAMILY	PANTHER	Gene3D	ProSitePatterns	PRINTS	SMART	ProSiteProfiles	CDD	Coils	TIGRFAM	PATHWAY	Hamap	SFLD	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	ProDom
snap_masked-scaffold83-processed-gene-0.92-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold378-augustus-gene-0.8-mRNA-1	NA	TMhelix	IPR002937	GO:0016491;GO:0055114	PF01593	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF51905	PTHR42923;PTHR42923:SF16	G3DSA:3.50.50.60;G3DSA:1.10.405.20;G3DSA:3.30.70.1990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold29-processed-gene-0.169-mRNA-1	NA	NA	IPR002347	GO:0016491	PF00106	NA	SSF51735	PTHR43180	G3DSA:3.40.50.720	PS00061	PR00081;PR00080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold180-processed-gene-0.6-mRNA-1	mobidb-lite	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172;PF11951	NA	SSF57701	PTHR31263;PTHR31263:SF24	G3DSA:4.10.240.10	PS00463	NA	SM00066	PS50048	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold34-processed-gene-0.142-mRNA-1	mobidb-lite	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	NA	SSF56112	PTHR44035:SF2;PTHR44035	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	SM00220	PS50011	cd14008	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold27-processed-gene-0.279-mRNA-1	NA	TMhelix	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	PTHR38695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold25-processed-gene-0.11-mRNA-1	mobidb-lite	TMhelix	IPR001905	GO:0008519;GO:0016020;GO:0072488;GO:0015696	PF00909	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF111352	PTHR43029:SF4;PTHR43029	G3DSA:1.10.3430.10	PS01219	NA	NA	NA	NA	NA	TIGR00836	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold256-processed-gene-0.25-mRNA-1	mobidb-lite	NA	IPR005936	GO:0004222;GO:0016020;GO:0005524;GO:0008270;GO:0016021;GO:0006508	PF06480;PF01434;PF17862;PF00004	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF52540;SSF140990	PTHR43655;PTHR43655:SF14	G3DSA:1.20.58.760;G3DSA:1.10.8.60;G3DSA:3.40.1690.20;G3DSA:3.40.50.300	PS00674	NA	SM00382	NA	cd00009	NA	TIGR01241	Reactome: R-HSA-8949664	MF_01458	NA	NA	NA	NA	NA	NA
maker-scaffold160-snap-gene-0.23-mRNA-1	NA	TMhelix	IPR006598	NA	PF05686	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	PTHR12203:SF54;PTHR12203	NA	NA	NA	SM00672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold40-snap-gene-0.179-mRNA-1	mobidb-lite	NA	IPR037782	GO:0000124;GO:0046695;GO:0005515;GO:0046982	PF07524;PF00439	NA	SSF47370	PTHR22880:SF223;PTHR22880	G3DSA:1.20.920.10;G3DSA:1.10.20.10	PS00633	PR00503	SM00297	PS50014	cd05510	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold425-processed-gene-0.8-mRNA-1	mobidb-lite	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	G3DSA:1.20.5.340	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold4-processed-gene-0.38-mRNA-1	NA	NA	IPR004136	GO:0018580;GO:0055114;GO:0003824	PF03060	NA	SSF51412	PTHR32332:SF23;PTHR32332	G3DSA:3.20.20.70	NA	NA	NA	NA	cd04730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold17-processed-gene-0.202-mRNA-1	mobidb-lite	TMhelix	IPR006153	GO:0006812;GO:0015299;GO:0016021;GO:0055085;GO:0006814;GO:0006885;GO:0015385	PF00999	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	PTHR10110;PTHR10110:SF127	NA	NA	PR01084	NA	NA	NA	NA	TIGR00840	Reactome: R-HSA-425986	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold439-processed-gene-0.29-mRNA-1	NA	NA	IPR036291	GO:0055114;GO:0008270;GO:0016491	PF08240;PF00107	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF51735;SSF50129	PTHR42813:SF2;PTHR42813	G3DSA:3.90.180.10;G3DSA:3.40.50.720	PS00059	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-71384	NA	NA	NA	NA	NA	NA	NA
maker-scaffold133-augustus-gene-0.4-mRNA-1	NA	NA	IPR010376	GO:0005506;GO:0045329;GO:0050353;GO:0016491;GO:0055114	PF06155;PF02668	NA	SSF51197	PTHR10696;PTHR10696:SF3	G3DSA:3.60.130.10;G3DSA:3.30.2020.30	NA	NA	NA	NA	cd00250	NA	TIGR02410	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA	NA
maker-scaffold24-augustus-gene-0.169-mRNA-1	NA	NA	IPR000683	GO:0016491	PF01408	NA	SSF51735	PTHR42840:SF6;PTHR42840	G3DSA:3.30.360.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold466-snap-gene-0.3-mRNA-1	mobidb-lite	NA	IPR011022	NA	PF02752;PF00339	NA	NA	PTHR11188;PTHR11188:SF69	G3DSA:2.60.40.640	NA	NA	SM01017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold490-exonerate_protein2genome-gene-0.13-mRNA-1	mobidb-lite	NA	IPR028217	NA	PF14615	NA	NA	PTHR28127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold149-augustus-gene-0.132-mRNA-1	NA	NA	IPR011013	GO:0003824;GO:0005975;GO:0030246;GO:0004553	PF01055;PF13802	NA	SSF74650;SSF51445;SSF117125;SSF51011	PTHR43053;PTHR43053:SF2	G3DSA:2.60.40.1760;G3DSA:3.20.20.80;G3DSA:2.60.40.1180	NA	NA	NA	NA	cd14752;cd06593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold11-processed-gene-0.210-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold63-processed-gene-0.28-mRNA-1	NA	NA	IPR034610	GO:0016052;GO:0050023;GO:0009063	PF13378	NA	SSF51604;SSF54826	PTHR13794:SF58;PTHR13794	G3DSA:3.30.390.10;G3DSA:3.20.20.120	PS00909	NA	SM00922	NA	cd03324	NA	NA	KEGG: 00051+4.2.1.68	NA	SFLDF00111;SFLDS00001;SFLDF00270	NA	NA	NA	NA	NA
augustus_masked-scaffold207-processed-gene-0.139-mRNA-1	NA	NA	IPR015943	GO:0005515;GO:0003743;GO:0005737;GO:0005852	PF00400	NA	SSF50978	PTHR19877	G3DSA:2.130.10.10	PS00678	NA	SM00320	PS50294;PS50082	NA	Coil	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	MF_03008	NA	NA	NA	NA	NA	NA
