Gene	PANTHER	Phobius	interpro	GO	PATHWAY	Pfam	TMHMM	MobiDBLite	Coils	ProSitePatterns	CDD	Gene3D	SUPERFAMILY	ProSiteProfiles	SMART	PRINTS	SFLD	TIGRFAM	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	PIRSF	ProDom
maker-NODE_1_length_1425273_cov_58.493042-snap-gene-13.129-mRNA-1	PTHR33281;PTHR33281:SF10	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR021134		Reactome: R-HSA-2672351	PF01062	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_307899_cov_56.759910-snap-gene-2.287-mRNA-1	PTHR42068	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_15_length_426026_cov_57.133846-processed-gene-0.9-mRNA-1	PTHR24223:SF344;PTHR24223	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR017871	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	PF00005;PF00664	TMhelix	mobidb-lite	NA	PS00211	cd03250;cd03244	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SSF52540;SSF90123	PS50893;PS50929	SM00382	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_49_length_170047_cov_51.624723-augustus-gene-0.115-mRNA-1	PTHR12673;PTHR12673:SF144	NA	IPR000219	GO:0005089;GO:0035023	NA	PF00621;PF15405;PF00780	NA	mobidb-lite	NA	NA	cd00160	G3DSA:1.20.900.10	SSF50729;SSF48065	PS50219;PS50010;PS50003	SM00325;SM00233;SM00036	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-3.187-mRNA-1	PTHR35779:SF1;PTHR35779	TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	IPR014844	NA	NA	PF08733	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_558485_cov_55.498657-snap-gene-2.10-mRNA-1	PTHR14950:SF37;PTHR14950	NA	IPR001650	GO:0004525;GO:0006396;GO:0016891;GO:0003676;GO:0005524	Reactome: R-HSA-203927	PF00636;PF03368;PF00271;PF00270	NA	mobidb-lite	NA	PS00517	cd00079;cd00593;cd00046	G3DSA:3.30.160.380;G3DSA:3.40.50.300;G3DSA:1.10.1520.10	SSF69065;SSF52540	PS51192;PS51194;PS51327;PS50142	SM00490;SM00535;SM00487	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_102_length_43697_cov_38.328919-processed-gene-0.6-mRNA-1	PTHR13789:SF215;PTHR13789	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR036188	GO:0071949	NA	PF01494	TMhelix	NA	NA	NA	NA	G3DSA:3.50.50.60	SSF54373;SSF51905	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_52_length_158164_cov_57.275227-snap-gene-0.12-mRNA-1	PTHR13678;PTHR13678:SF2	NA	IPR037859	GO:0000813;GO:0032509	Reactome: R-HSA-162588|Reactome: R-HSA-174490|Reactome: R-HSA-917729	PF07200	NA	mobidb-lite	Coil	NA	NA	G3DSA:1.10.287.660	SSF140111	PS51314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_57_length_138242_cov_55.970148-augustus-gene-0.18-mRNA-1	PTHR42861;PTHR42861:SF35	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR036412	GO:0000166;GO:0005388;GO:0006816;GO:0016021	Reactome: R-HSA-936837	PF00122;PF00702;PF00689;PF00690	TMhelix	NA	NA	PS00154	cd02083	G3DSA:1.20.1110.10;G3DSA:3.40.1110.10;G3DSA:2.60.120.1500;G3DSA:3.40.50.1000	SSF56784;SSF81665;SSF81660;SSF81653	NA	NA	PR00121;PR00119	SFLDG00002;SFLDF00027	TIGR01116;TIGR01494	NA	NA	NA	NA	NA	NA
snap_masked-NODE_42_length_197979_cov_55.852400-processed-gene-0.86-mRNA-1	PTHR36205;PTHR36205:SF3	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR021822	NA	NA	PF11885	TMhelix	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-3.206-mRNA-1	PTHR10799:SF599;PTHR10799	NA	IPR017877	GO:0003677	NA	PF13921;PF07529	NA	mobidb-lite	NA	NA	cd00167	G3DSA:1.10.10.60	SSF46689	PS50090;PS51204	SM00717;SM00573	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_13_length_473568_cov_57.795694-processed-gene-0.195-mRNA-1	PTHR24347;PTHR24347:SF361	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	NA	mobidb-lite	Coil	PS00107	cd05117	G3DSA:1.10.238.10;G3DSA:3.30.200.20;G3DSA:1.10.510.10	SSF56112	PS50011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_67_length_106929_cov_51.890086-augustus-gene-0.63-mRNA-1	PTHR10351;PTHR10351:SF48	NA	IPR001202	GO:0005515	NA	PF00397	NA	mobidb-lite	Coil	PS01159	cd07389;cd00201	G3DSA:2.20.70.10	SSF51045	PS50020	SM00456	NA	NA	NA	NA	NA	NA	NA	NA	NA
