Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-scaffold1-processed-gene-1.46-mRNA-1	GT4(252-378)	GT4	GT4	N	3
augustus_masked-scaffold1-processed-gene-3.139-mRNA-1	CE10(72-386)	N	N	N	1
augustus_masked-scaffold10-processed-gene-1.110-mRNA-1	GH5_9(365-689)	GH5	GH5_9	N	3
augustus_masked-scaffold10-processed-gene-2.265-mRNA-1	GH3(86-312)	N	GH3	N	2
augustus_masked-scaffold102-processed-gene-0.172-mRNA-1	GH18(30-279)	GH18	N	N	2
augustus_masked-scaffold12-processed-gene-0.52-mRNA-1	GH13_40(35-385)	GH13	GH13_40	N	3
augustus_masked-scaffold12-processed-gene-1.157-mRNA-1	GT64(95-339)	N	N	N	1
augustus_masked-scaffold121-processed-gene-0.105-mRNA-1	AA3(9-540)	AA3	AA3_2	N	3
augustus_masked-scaffold128-processed-gene-0.108-mRNA-1	GH55(40-785)	GH28+GH55	GH55	N	3
augustus_masked-scaffold129-processed-gene-0.19-mRNA-1	GT39(67-312)	GT39	GT39	N	3
augustus_masked-scaffold13-processed-gene-0.102-mRNA-1	PL7_4(30-249)	PL7	N	N	2
augustus_masked-scaffold13-processed-gene-1.137-mRNA-1	GH64(76-453)	GH64	N	N	2
augustus_masked-scaffold132-processed-gene-0.51-mRNA-1	GH20(184-559)	GH20	GH20	N	3
augustus_masked-scaffold137-processed-gene-0.110-mRNA-1	GH31(246-818)	GH31	GH31	N	3
augustus_masked-scaffold139-processed-gene-0.151-mRNA-1	GH43(27-311)+CBM66(329-482)	GH43	CBM66+GH43_34	N	3
augustus_masked-scaffold14-processed-gene-1.250-mRNA-1	CE10(123-284)	N	N	N	1
augustus_masked-scaffold142-processed-gene-0.5-mRNA-1	GH55(28-756)	GH55	GH55	N	3
augustus_masked-scaffold15-processed-gene-1.52-mRNA-1	GH28(129-436)	GH28	GH28	N	3
augustus_masked-scaffold15-processed-gene-1.64-mRNA-1	GH49(20-562)	GH49	GH49	N	3
augustus_masked-scaffold151-processed-gene-0.101-mRNA-1	GT15(133-340)	N	N	N	1
augustus_masked-scaffold151-processed-gene-0.109-mRNA-1	GH18(74-311)	N	GH18	N	2
augustus_masked-scaffold154-processed-gene-0.2-mRNA-1	GH3(186-398)	GH3	GH3	N	3
augustus_masked-scaffold159-processed-gene-0.110-mRNA-1	GT17(1-298)	GT17	N	N	2
augustus_masked-scaffold16-processed-gene-1.7-mRNA-1	GH18(36-457)	GH18	N	N	2
augustus_masked-scaffold164-processed-gene-0.15-mRNA-1	GT62(71-335)	GT62	GT62	N	3
augustus_masked-scaffold166-processed-gene-0.51-mRNA-1	GT4(230-408)	GT4	GT4	N	3
augustus_masked-scaffold171-processed-gene-0.4-mRNA-1	GH47(107-616)	GH47	GH47	N	3
augustus_masked-scaffold175-processed-gene-0.147-mRNA-1	GT32(96-178)	GT32	GT32	N	3
augustus_masked-scaffold178-processed-gene-0.138-mRNA-1	GH125(631-1068)	GH125	GH125	N	3
augustus_masked-scaffold183-processed-gene-0.103-mRNA-1	AA7(31-233)	N	N	N	1
augustus_masked-scaffold187-processed-gene-0.86-mRNA-1	AA7(131-583)	N	N	N	1
augustus_masked-scaffold195-processed-gene-0.10-mRNA-1	GH16(99-315)	N	N	N	1
augustus_masked-scaffold21-processed-gene-0.5-mRNA-1	GH1(4-475)	GH1	GH1	N	3
augustus_masked-scaffold234-processed-gene-0.26-mRNA-1	GH3(34-245)	GH3	GH3	N	3
augustus_masked-scaffold242-processed-gene-0.20-mRNA-1	CE10(98-348)	N	N	N	1
augustus_masked-scaffold25-processed-gene-1.132-mRNA-1	GH30_3(60-482)	GH30	GH30_3	N	3
augustus_masked-scaffold25-processed-gene-1.151-mRNA-1	GH67(8-624)	GH67	GH67	N	3
augustus_masked-scaffold26-processed-gene-1.37-mRNA-1	GH5_12(15-549)	GH5	GH5_12	N	3
augustus_masked-scaffold28-processed-gene-1.165-mRNA-1	GT8(16-303)	GT8	N	N	2
augustus_masked-scaffold3-processed-gene-0.50-mRNA-1	GH128(41-281)	GH128	N	N	2
augustus_masked-scaffold3-processed-gene-0.60-mRNA-1	GT4(255-410)	N	GT4	N	2
augustus_masked-scaffold3-processed-gene-1.108-mRNA-1	GH16(32-283)	GH16	N	N	2
augustus_masked-scaffold3-processed-gene-2.197-mRNA-1	GH72(16-332)	GH72	GH72	N	3
augustus_masked-scaffold31-processed-gene-0.86-mRNA-1	GH76(97-459)	GH76	GH76	N	3
augustus_masked-scaffold35-processed-gene-0.244-mRNA-1	CE10(15-301)	N	N	N	1
augustus_masked-scaffold35-processed-gene-0.275-mRNA-1	GH18(40-251)	GH18	GH18	N	3
augustus_masked-scaffold37-processed-gene-0.224-mRNA-1	GH15(58-459)+CBM20(526-616)	GH15+CBM20	CBM20+GH15	N	3
augustus_masked-scaffold37-processed-gene-0.231-mRNA-1	GH128(205-419)	N	N	N	1
augustus_masked-scaffold4-processed-gene-2.15-mRNA-1	CE4(90-222)	CE4	N	N	2
augustus_masked-scaffold41-processed-gene-0.319-mRNA-1	GH31(233-718)	GH31	GH31	N	3
augustus_masked-scaffold41-processed-gene-0.320-mRNA-1	GH2(108-741)	GH2	GH2	N	3
augustus_masked-scaffold44-processed-gene-0.290-mRNA-1	GT25(5-236)	GT25	N	N	2
augustus_masked-scaffold44-processed-gene-0.291-mRNA-1	GH5_5(236-531)	GH5+CBM1	CBM1+GH5_5	N	3
augustus_masked-scaffold46-processed-gene-0.285-mRNA-1	GH17(91-310)	GH17	N	N	2
augustus_masked-scaffold47-processed-gene-0.323-mRNA-1	GH47(143-614)	GH47	GH47	N	3
augustus_masked-scaffold5-processed-gene-0.148-mRNA-1	GT1(174-522)	GT1	GT1	N	3
