Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-NODE_108_length_52658_cov_13.446098-processed-gene-0.30-mRNA-1	GH47(120-583)	GH47	GH47	N	3
augustus_masked-NODE_10_length_115933_cov_12.671209-processed-gene-0.13-mRNA-1	GT64(104-345)	N	N	N	1
augustus_masked-NODE_112_length_51121_cov_14.624662-processed-gene-0.35-mRNA-1	GT69(143-391)	GT69	GT69	N	3
augustus_masked-NODE_113_length_51002_cov_12.844934-processed-gene-0.53-mRNA-1	AA7(135-317)	N	N	N	1
augustus_masked-NODE_115_length_50394_cov_12.884775-processed-gene-0.72-mRNA-1	GH75(14-237)	GH75	N	N	2
augustus_masked-NODE_118_length_50054_cov_13.977087-processed-gene-0.105-mRNA-1	PL1_2(69-239)	N	N	N	1
augustus_masked-NODE_11_length_115864_cov_13.627181-processed-gene-0.13-mRNA-1	AA2(95-340)	N	N	N	1
augustus_masked-NODE_11_length_115864_cov_13.627181-processed-gene-0.21-mRNA-1	GT2(789-881)	GT2	GT2	N	3
augustus_masked-NODE_132_length_47154_cov_13.508431-processed-gene-0.1-mRNA-1	GH31(204-686)	GH31	GH31	N	3
augustus_masked-NODE_132_length_47154_cov_13.508431-processed-gene-0.2-mRNA-1	GH2(100-727)	GH2	GH2	N	3
augustus_masked-NODE_13_length_110199_cov_12.958545-processed-gene-0.61-mRNA-1	GH55(37-766)	GH55	GH55	N	3
augustus_masked-NODE_143_length_44775_cov_13.852020-processed-gene-0.23-mRNA-1	GT90(629-927)	GT90	GT90	N	3
augustus_masked-NODE_148_length_44032_cov_13.250837-processed-gene-0.30-mRNA-1	GH3(87-313)	N	GH3	N	2
augustus_masked-NODE_14_length_108945_cov_10.797846-processed-gene-0.142-mRNA-1	GH43(27-318)+CBM66(334-490)	GH43	CBM66+GH43_34	N	3
augustus_masked-NODE_172_length_40045_cov_12.460294-processed-gene-0.81-mRNA-1	GH17(125-306)	GH17	N	N	2
