Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-scaffold1-processed-gene-2.271-mRNA-1	CE10(75-324)	N	N	N	1
augustus_masked-scaffold100-processed-gene-0.42-mRNA-1	GH31(246-817)	GH31	GH31	N	3
augustus_masked-scaffold102-processed-gene-0.186-mRNA-1	GH64(76-454)	N	N	N	1
augustus_masked-scaffold107-processed-gene-0.112-mRNA-1	GH47(104-577)	GH47	GH47	N	3
augustus_masked-scaffold111-processed-gene-0.72-mRNA-1	GH28(100-436)	GH28	GH28	N	3
augustus_masked-scaffold113-processed-gene-0.121-mRNA-1	GH3(86-312)	N	GH3	N	2
augustus_masked-scaffold121-processed-gene-0.158-mRNA-1	GH115(20-616)	GH115	GH115	N	3
augustus_masked-scaffold121-processed-gene-0.174-mRNA-1	GH92(349-862)	GH92	GH92	N	3
augustus_masked-scaffold126-processed-gene-0.149-mRNA-1	GT39(63-308)	GT39	GT39	N	3
augustus_masked-scaffold14-processed-gene-1.15-mRNA-1	GT39(66-310)	GT39	GT39	N	3
augustus_masked-scaffold15-processed-gene-0.152-mRNA-1	GH72(21-330)	GH72	CBM43+GH72	N	3
augustus_masked-scaffold15-processed-gene-1.34-mRNA-1	GH1(2-467)	GH1	GH1	N	3
augustus_masked-scaffold157-processed-gene-0.97-mRNA-1	GH18(77-336)	N	GH18	N	2
augustus_masked-scaffold160-processed-gene-0.79-mRNA-1	GH55(40-785)	GH55	GH55	N	3
augustus_masked-scaffold173-processed-gene-0.88-mRNA-1	GH2(109-727)	GH2	GH2	N	3
augustus_masked-scaffold173-processed-gene-0.90-mRNA-1	GH31(234-719)	GH31	GH31	N	3
augustus_masked-scaffold173-processed-gene-0.92-mRNA-1	GH12(186-326)	N	N	N	1
augustus_masked-scaffold174-processed-gene-0.106-mRNA-1	GH16(81-221)	GH16	GH16	N	3
augustus_masked-scaffold19-processed-gene-0.16-mRNA-1	GH18(37-326)	GH18	CBM1+GH18	N	3
augustus_masked-scaffold19-processed-gene-0.30-mRNA-1	GH20(188-564)	GH20	GH20	N	3
augustus_masked-scaffold196-processed-gene-0.71-mRNA-1	GH47(275-440)	GH47	GH47	N	3
augustus_masked-scaffold196-processed-gene-0.77-mRNA-1	GH5_12(15-549)	GH5	GH5_12	N	3
augustus_masked-scaffold198-processed-gene-0.50-mRNA-1	GH16(103-324)	N	N	N	1
augustus_masked-scaffold2-processed-gene-1.99-mRNA-1	CE5(37-230)	N	N	N	1
augustus_masked-scaffold2-processed-gene-3.20-mRNA-1	GT4(267-421)	GT4	GT4	N	3
augustus_masked-scaffold2-processed-gene-3.21-mRNA-1	PL8(704-932)	N	N	N	1
augustus_masked-scaffold21-processed-gene-0.111-mRNA-1	AA7(95-530)	N	N	N	1
augustus_masked-scaffold21-processed-gene-0.139-mRNA-1	GH3(192-404)	GH3	GH3	N	3
augustus_masked-scaffold21-processed-gene-0.97-mRNA-1	GT90(437-717)	GT90	N	N	2
augustus_masked-scaffold22-processed-gene-0.21-mRNA-1	GT57(77-560)	GT57	GT57	N	3
augustus_masked-scaffold233-processed-gene-0.65-mRNA-1	CE10(113-539)	N	N	N	1
augustus_masked-scaffold235-processed-gene-0.57-mRNA-1	AA7(30-227)	N	N	N	1
augustus_masked-scaffold278-processed-gene-0.20-mRNA-1	GH43(27-313)+CBM66(331-484)	GH43	CBM66+GH43_34	N	3
augustus_masked-scaffold28-processed-gene-0.94-mRNA-1	GH47(185-656)	GH47	GH47	N	3
augustus_masked-scaffold281-processed-gene-0.37-mRNA-1	GT32(96-178)	GT32	GT32	N	3
augustus_masked-scaffold284-processed-gene-0.9-mRNA-1	GH72(16-332)	GH72	GH72	N	3
augustus_masked-scaffold29-processed-gene-0.108-mRNA-1	GT17(97-377)	GT17	N	N	2
augustus_masked-scaffold298-processed-gene-0.35-mRNA-1	AA7(134-585)	N	N	N	1
augustus_masked-scaffold3-processed-gene-2.447-mRNA-1	AA11(21-228)	AA11	N	N	2
augustus_masked-scaffold30-processed-gene-0.71-mRNA-1	GT64(95-343)	N	N	N	1
augustus_masked-scaffold306-processed-gene-0.15-mRNA-1	CE10(94-341)	N	N	N	1
augustus_masked-scaffold33-processed-gene-0.62-mRNA-1	CE10(103-259)	N	N	N	1
augustus_masked-scaffold331-processed-gene-0.29-mRNA-1	CE1(24-282)	N	N	N	1
augustus_masked-scaffold351-processed-gene-0.14-mRNA-1	GH3(34-245)	GH3	GH3	N	3
augustus_masked-scaffold37-processed-gene-0.273-mRNA-1	GH67(18-703)	GH67	GH67	N	3
augustus_masked-scaffold37-processed-gene-0.292-mRNA-1	GH30_3(60-482)	GH30	GH30_3	N	3
augustus_masked-scaffold38-processed-gene-0.210-mRNA-1	AA7(119-304)	N	AA7	N	2
augustus_masked-scaffold38-processed-gene-0.214-mRNA-1	GT4(228-405)	GT4	GT4	N	3
augustus_masked-scaffold38-processed-gene-0.220-mRNA-1	GH79(24-430)	N	N	N	1
augustus_masked-scaffold4-processed-gene-0.86-mRNA-1	PL1_2(68-239)	PL1	N	N	2
