Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-NQYS01000001.1-processed-gene-0.10-mRNA-1	GT90(332-634)	GT90	GT90	N	3
augustus_masked-NQYS01000001.1-processed-gene-0.2-mRNA-1	GT69(17-266)	N	GT69	N	2
augustus_masked-NQYS01000001.1-processed-gene-16.3-mRNA-1	GT32(96-178)	GT32	GT32	N	3
augustus_masked-NQYS01000001.1-processed-gene-17.46-mRNA-1	GH55(29-756)	GH55	GH55	N	3
augustus_masked-NQYS01000001.1-processed-gene-33.31-mRNA-1	GT1(881-1285)	GT1	GT1	N	3
augustus_masked-NQYS01000001.1-processed-gene-33.33-mRNA-1	GT64(95-339)	N	N	N	1
augustus_masked-NQYS01000001.1-processed-gene-39.10-mRNA-1	GH16(7-258)	GH16	N	N	2
augustus_masked-NQYS01000001.1-processed-gene-39.19-mRNA-1	GT4(257-412)	GT4	GT4	N	3
augustus_masked-NQYS01000001.1-processed-gene-44.27-mRNA-1	GH47(107-615)	GH47	GH47	N	3
augustus_masked-NQYS01000001.1-processed-gene-48.21-mRNA-1	GH18(32-287)	GH18	GH18	N	3
augustus_masked-NQYS01000001.1-processed-gene-50.30-mRNA-1	CE10(114-539)	N	N	N	1
augustus_masked-NQYS01000001.1-processed-gene-54.36-mRNA-1	GT4(258-384)	GT4	GT4	N	3
augustus_masked-NQYS01000001.1-processed-gene-61.0-mRNA-1	CBM21(308-414)	CBM21	CBM21	N	3
augustus_masked-NQYS01000001.1-processed-gene-61.12-mRNA-1	AA3(9-541)	AA3	AA3_2	N	3
augustus_masked-NQYS01000001.1-processed-gene-62.13-mRNA-1	GH95(27-771)	N	GH95	N	2
augustus_masked-NQYS01000001.1-processed-gene-62.16-mRNA-1	GH18(69-324)	N	GH18	N	2
augustus_masked-NQYS01000001.1-processed-gene-8.32-mRNA-1	AA7(200-394)	N	N	N	1
augustus_masked-NQYS01000001.1-processed-gene-9.10-mRNA-1	CE10(68-221)	N	N	N	1
augustus_masked-NQYS01000002.1-processed-gene-0.19-mRNA-1	GH28(100-436)	GH28	GH28	N	3
augustus_masked-NQYS01000002.1-processed-gene-1.13-mRNA-1	GH49(4-551)	GH49	GH49	N	3
augustus_masked-NQYS01000002.1-processed-gene-19.13-mRNA-1	GH5_12(15-549)	GH5	GH5_12	N	3
augustus_masked-NQYS01000002.1-processed-gene-23.22-mRNA-1	CE10(85-371)	N	N	N	1
augustus_masked-NQYS01000002.1-processed-gene-28.30-mRNA-1	GH76(25-385)	GH76	GH76	N	3
augustus_masked-NQYS01000002.1-processed-gene-3.15-mRNA-1	AA7(132-320)	N	N	N	1
augustus_masked-NQYS01000002.1-processed-gene-4.9-mRNA-1	GH55(40-787)	GH28+GH55	GH55	N	3
augustus_masked-NQYS01000002.1-processed-gene-43.29-mRNA-1	GH92(268-788)	GH92	GH92	N	3
augustus_masked-NQYS01000002.1-processed-gene-43.33-mRNA-1	AA3_2(16-584)	AA3	N	N	2
augustus_masked-NQYS01000002.1-processed-gene-43.40-mRNA-1	AA7(42-235)	N	AA7	N	2
augustus_masked-NQYS01000002.1-processed-gene-5.27-mRNA-1	GH16(99-319)	N	N	N	1
augustus_masked-NQYS01000003.1-processed-gene-0.15-mRNA-1	CE10(94-365)	N	N	N	1
augustus_masked-NQYS01000003.1-processed-gene-0.18-mRNA-1	GH17(65-313)	GH17	GH17	N	3
augustus_masked-NQYS01000003.1-processed-gene-17.17-mRNA-1	CE10(75-323)	N	N	N	1
augustus_masked-NQYS01000003.1-processed-gene-19.41-mRNA-1	GH17(103-313)	GH17	N	N	2
