Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-NODE_105_length_77337_cov_48.574485-processed-gene-0.26-mRNA-1	GH89(72-759)	N	GH89	N	2
augustus_masked-NODE_121_length_68883_cov_50.303523-processed-gene-0.25-mRNA-1	GH18(42-267)	GH18	GH18	N	3
augustus_masked-NODE_121_length_68883_cov_50.303523-processed-gene-0.5-mRNA-1	CE10(59-311)	N	N	N	1
augustus_masked-NODE_124_length_67244_cov_47.042776-processed-gene-0.11-mRNA-1	GH3(34-245)	GH3	GH3	N	3
augustus_masked-NODE_124_length_67244_cov_47.042776-processed-gene-0.6-mRNA-1	GH31(248-809)	GH31	GH31	N	3
augustus_masked-NODE_127_length_65846_cov_43.895175-processed-gene-0.95-mRNA-1	GT15(75-352)	GT15	GT15	N	3
augustus_masked-NODE_128_length_65099_cov_46.687311-processed-gene-0.120-mRNA-1	GT32(101-183)	GT32	GT32	N	3
augustus_masked-NODE_12_length_215955_cov_40.277522-processed-gene-1.262-mRNA-1	GT76(18-439)	GT76	GT76	N	3
augustus_masked-NODE_134_length_62936_cov_48.281504-processed-gene-0.1-mRNA-1	GH92(693-1206)	GH92	GH92	N	3
augustus_masked-NODE_135_length_62702_cov_44.213903-processed-gene-0.193-mRNA-1	GT90(331-597)	GT90	GT90	N	3
augustus_masked-NODE_136_length_62359_cov_45.786669-processed-gene-0.123-mRNA-1	GT90(733-1006)	GT90	N	N	2
augustus_masked-NODE_141_length_61473_cov_48.100349-processed-gene-0.21-mRNA-1	GH20(193-569)	GH20	GH20	N	3
augustus_masked-NODE_146_length_59692_cov_44.393402-processed-gene-0.69-mRNA-1	GT69(119-367)	GT69	N	N	2
augustus_masked-NODE_14_length_209926_cov_50.031640-processed-gene-0.227-mRNA-1	GT4(268-423)	GT4	GT4	N	3
augustus_masked-NODE_152_length_57982_cov_48.783597-processed-gene-0.131-mRNA-1	AA6(4-197)	AA6	N	N	2
