Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-NODE_106_length_41611_cov_37.304503-processed-gene-0.47-mRNA-1	PL1_2(70-241)	PL1	N	N	2
augustus_masked-NODE_107_length_40903_cov_43.036051-processed-gene-0.39-mRNA-1	GT4(249-406)	N	GT4	N	2
augustus_masked-NODE_109_length_36041_cov_32.523222-processed-gene-0.30-mRNA-1	GH7(19-451)	GH7	CBM1+GH7	N	3
augustus_masked-NODE_110_length_35072_cov_45.866819-processed-gene-0.57-mRNA-1	GH3(76-289)	GH3	GH3	N	3
augustus_masked-NODE_111_length_34810_cov_29.183202-processed-gene-0.17-mRNA-1	GH5_5(90-388)	GH5+CBM1	CBM1+GH5_5	N	3
augustus_masked-NODE_114_length_33811_cov_32.781083-processed-gene-0.43-mRNA-1	GH3(71-299)	GH3	GH3	N	3
augustus_masked-NODE_11_length_511883_cov_58.263260-processed-gene-0.14-mRNA-1	GH3(96-346)	GH3	GH3	N	3
augustus_masked-NODE_11_length_511883_cov_58.263260-processed-gene-0.18-mRNA-1	GH55(21-741)	GH28+GH55	GH55	N	3
augustus_masked-NODE_11_length_511883_cov_58.263260-processed-gene-0.21-mRNA-1	GT64(52-298)	N	N	N	1
augustus_masked-NODE_11_length_511883_cov_58.263260-processed-gene-0.8-mRNA-1	GT32(94-171)	N	N	N	1
augustus_masked-NODE_11_length_511883_cov_58.263260-processed-gene-3.20-mRNA-1	GH3(147-390)	GH3	GH3	N	3
augustus_masked-NODE_123_length_29548_cov_50.336596-processed-gene-0.92-mRNA-1	GH132(154-375)	GH132	N	N	2
augustus_masked-NODE_13_length_473568_cov_57.795694-processed-gene-0.178-mRNA-1	GH16(51-289)	GH16	N	N	2
augustus_masked-NODE_145_length_21742_cov_43.610548-processed-gene-0.11-mRNA-1	PL7_4(8-149)	N	N	N	1
augustus_masked-NODE_158_length_19084_cov_45.084085-processed-gene-0.7-mRNA-1	AA7(96-301)	N	N	N	1
augustus_masked-NODE_16_length_414607_cov_57.056676-processed-gene-1.63-mRNA-1	GH72(16-332)	GH72	GH72	N	3
augustus_masked-NODE_17_length_413467_cov_55.970450-processed-gene-3.127-mRNA-1	AA7(79-247)	N	N	N	1
augustus_masked-NODE_17_length_413467_cov_55.970450-processed-gene-3.133-mRNA-1	CBM21(156-262)	CBM21	CBM21	N	3
augustus_masked-NODE_18_length_409824_cov_57.109259-processed-gene-0.195-mRNA-1	GT21(50-340)	GT21	GT21	N	3
augustus_masked-NODE_18_length_409824_cov_57.109259-processed-gene-1.45-mRNA-1	GH18(11-229)	GH18	N	N	2
augustus_masked-NODE_190_length_14479_cov_20.131132-processed-gene-0.6-mRNA-1	GH54(30-345)+CBM42(363-502)	GH54+CBM42	CBM42+GH54	N	3
augustus_masked-NODE_19_length_399495_cov_56.963753-processed-gene-0.115-mRNA-1	GT39(66-307)	GT39	GT39	N	3
augustus_masked-NODE_19_length_399495_cov_56.963753-processed-gene-0.124-mRNA-1	CE10(63-335)	N	N	N	1
augustus_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-10.7-mRNA-1	GT90(320-606)	GT90	GT90	N	3
augustus_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-12.20-mRNA-1	GT1(33-424)	N	N	N	1
augustus_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-8.146-mRNA-1	GH18(54-231)	GH18	GH18	N	3
augustus_masked-NODE_20_length_387202_cov_58.679540-processed-gene-0.26-mRNA-1	GH128(210-422)	GH128	N	N	2
augustus_masked-NODE_21_length_380954_cov_56.979182-processed-gene-0.130-mRNA-1	GH17(84-312)	GH17	N	N	2
augustus_masked-NODE_22_length_372926_cov_58.633942-processed-gene-0.64-mRNA-1	AA3_2(20-593)	AA3	N	N	2
augustus_masked-NODE_22_length_372926_cov_58.633942-processed-gene-2.320-mRNA-1	AA7(31-227)	N	N	N	1
augustus_masked-NODE_22_length_372926_cov_58.633942-processed-gene-2.333-mRNA-1	GH16(144-431)	GH16	GH16	N	3
augustus_masked-NODE_23_length_370437_cov_58.723945-processed-gene-2.286-mRNA-1	GH92(256-750)	GH92	GH92	N	3
augustus_masked-NODE_26_length_344838_cov_59.331504-processed-gene-2.88-mRNA-1	CE10(193-637)	N	N	N	1
augustus_masked-NODE_27_length_330426_cov_57.138596-processed-gene-0.180-mRNA-1	CE10(64-327)	N	N	N	1
augustus_masked-NODE_29_length_304748_cov_57.569130-processed-gene-2.240-mRNA-1	GH55(44-783)	GH28+GH55	GH55	N	3
augustus_masked-NODE_30_length_285380_cov_56.027165-processed-gene-0.41-mRNA-1	GT2(423-626)	GT2	GT2	N	3
augustus_masked-NODE_31_length_278666_cov_58.460664-processed-gene-0.31-mRNA-1	AA7(127-574)	AA7	N	N	2
augustus_masked-NODE_32_length_276436_cov_60.070273-processed-gene-1.31-mRNA-1	GH105(47-369)	GH105	GH105	N	3
augustus_masked-NODE_34_length_266141_cov_58.906685-processed-gene-0.21-mRNA-1	GT50(133-390)	GT50	GT50	N	3
augustus_masked-NODE_34_length_266141_cov_58.906685-processed-gene-0.25-mRNA-1	GH5_7(57-332)	GH5	CBM1+GH5_7	N	3
augustus_masked-NODE_34_length_266141_cov_58.906685-processed-gene-0.26-mRNA-1	GH13_3(232-460)	GH13	GH13_3	N	3
augustus_masked-NODE_35_length_262196_cov_59.525049-processed-gene-0.21-mRNA-1	GH3(83-312)	N	GH3	N	2
augustus_masked-NODE_36_length_256952_cov_59.432252-processed-gene-0.69-mRNA-1	GH43_36(38-309)	GH43	CBM1+GH43_36	N	3
augustus_masked-NODE_3_length_752009_cov_57.006766-processed-gene-4.185-mRNA-1	GH5_12(15-549)	GH5	GH5_12	N	3
augustus_masked-NODE_3_length_752009_cov_57.006766-processed-gene-5.37-mRNA-1	AA3_2(13-586)	AA3+AA8	AA3_2	N	3
augustus_masked-NODE_3_length_752009_cov_57.006766-processed-gene-6.64-mRNA-1	AA7(123-566)	N	N	N	1
augustus_masked-NODE_40_length_236980_cov_57.581306-processed-gene-0.31-mRNA-1	AA3_2(3-553)	N	N	N	1
augustus_masked-NODE_43_length_196090_cov_50.533157-processed-gene-0.333-mRNA-1	GH64(7-368)	GH64	GH64	N	3
augustus_masked-NODE_46_length_189133_cov_58.105309-processed-gene-0.11-mRNA-1	GH7(24-391)	GH7	CBM1+GH7	N	3
augustus_masked-NODE_46_length_189133_cov_58.105309-processed-gene-0.31-mRNA-1	GH3(62-269)	GH3	GH3	N	3
augustus_masked-NODE_47_length_182279_cov_60.135887-processed-gene-0.355-mRNA-1	GH18(35-291)	GH18	GH18	N	3
augustus_masked-NODE_47_length_182279_cov_60.135887-processed-gene-0.358-mRNA-1	CE10(35-259)	N	N	N	1
augustus_masked-NODE_48_length_175738_cov_60.050008-processed-gene-0.335-mRNA-1	GT32(94-178)	GT32	GT32	N	3
augustus_masked-NODE_50_length_160537_cov_57.630279-processed-gene-0.47-mRNA-1	GT48(487-984)	GT48	GT48	N	3
augustus_masked-NODE_51_length_158936_cov_54.945186-processed-gene-0.305-mRNA-1	AA2(61-244)	N	N	N	1
augustus_masked-NODE_53_length_149878_cov_57.089161-processed-gene-0.54-mRNA-1	GH16(93-310)	N	N	N	1
augustus_masked-NODE_56_length_143953_cov_48.658316-processed-gene-0.211-mRNA-1	GH125(69-494)	GH125	GH125	N	3
augustus_masked-NODE_5_length_639344_cov_58.481605-processed-gene-4.40-mRNA-1	GH76(29-378)	GH76	GH76	N	3
augustus_masked-NODE_63_length_121436_cov_57.503804-processed-gene-0.12-mRNA-1	GT69(57-310)	GT69	GT69	N	3
augustus_masked-NODE_63_length_121436_cov_57.503804-processed-gene-0.25-mRNA-1	GH47(137-629)	GH47	GH47	N	3
augustus_masked-NODE_65_length_116360_cov_53.310523-processed-gene-0.33-mRNA-1	GH18(234-472)	N	GH18	N	2
augustus_masked-NODE_65_length_116360_cov_53.310523-processed-gene-0.41-mRNA-1	GH28(69-422)	GH28	GH28	N	3
augustus_masked-NODE_66_length_112180_cov_60.511151-processed-gene-0.296-mRNA-1	GT4(216-345)	GT4	GT4	N	3
augustus_masked-NODE_68_length_105889_cov_51.995528-processed-gene-0.173-mRNA-1	GH47(93-585)	GH47	GH47	N	3
augustus_masked-NODE_6_length_604053_cov_57.456056-processed-gene-1.13-mRNA-1	GT2(10-179)	GT2	GT2	N	3
augustus_masked-NODE_6_length_604053_cov_57.456056-processed-gene-2.60-mRNA-1	CE5(27-220)	N	N	N	1
augustus_masked-NODE_70_length_101461_cov_58.599059-processed-gene-0.219-mRNA-1	GH13_40(35-386)	GH13	GH13_40	N	3
augustus_masked-NODE_73_length_89340_cov_56.162062-processed-gene-0.10-mRNA-1	GH92(252-717)	GH92	GH92	N	3
augustus_masked-NODE_77_length_75220_cov_54.443197-processed-gene-0.30-mRNA-1	GH16(111-326)	N	N	N	1
augustus_masked-NODE_7_length_563164_cov_57.757710-processed-gene-0.141-mRNA-1	GH25(26-208)	GH25	N	N	2
augustus_masked-NODE_7_length_563164_cov_57.757710-processed-gene-0.145-mRNA-1	GH76(2-367)	GH76	GH76	N	3
augustus_masked-NODE_7_length_563164_cov_57.757710-processed-gene-1.248-mRNA-1	GH31(247-811)	GH31	GH31	N	3
augustus_masked-NODE_7_length_563164_cov_57.757710-processed-gene-2.226-mRNA-1	GH16(667-910)	GH16	N	N	2
augustus_masked-NODE_8_length_558485_cov_55.498657-processed-gene-4.415-mRNA-1	GT62(33-298)	GT62	GT62	N	3
augustus_masked-NODE_90_length_55289_cov_56.087488-processed-gene-0.18-mRNA-1	GH64(74-449)	GH64	N	N	2
augustus_masked-NODE_91_length_52642_cov_44.236599-processed-gene-0.3-mRNA-1	AA3(10-540)	AA3	AA3_2	N	3
