Gene	interpro	ProSitePatterns	Coils	SUPERFAMILY	GO	Pfam	PANTHER	MobiDBLite	Phobius	TMHMM	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	CDD	Hamap	Gene3D	PRINTS	PATHWAY	ProSiteProfiles	ProDom	SMART	PIRSF	TIGRFAM	SFLD
PTB39537.1	IPR025662	PS00675	Coil	SSF52540	GO:0005525	PF01926	PTHR32046	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44413.1	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB43844.1	IPR000814	PS00351	NA	SSF55945	GO:0003677;GO:0006352	PF00352	PTHR10126:SF20;PTHR10126	NA	NA	NA	NA	NA	NA	cd04516	MF_00408	G3DSA:3.30.310.10	PR00686	NA	NA	NA	NA	NA	NA	NA
PTB42985.1	IPR007745	NA	NA	SSF47072	GO:0005507;GO:0005758;GO:0006825;GO:0016531	PF05051	PTHR16719:SF0;PTHR16719	mobidb-lite	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	G3DSA:1.10.287.1130	NA	Reactome: R-HSA-1268020	PS51808	PD014904	NA	NA	NA	NA
PTB35128.1	IPR030185	NA	NA	NA	GO:0015140;GO:0016021;GO:0071423;GO:0055085	PF03595	PTHR31162	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd09317	NA	G3DSA:1.50.10.150	NA	NA	NA	NA	NA	NA	NA	NA
PTB45926.1	IPR020846	NA	NA	SSF103473	GO:0016021;GO:0055085	PF07690	PTHR23502:SF132;PTHR23502	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	cd06174	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
PTB35035.1	IPR001138	PS00463	NA	SSF57701	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	PTHR31944	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	cd00067;cd12148	NA	G3DSA:4.10.240.10	NA	NA	PS50048	NA	SM00066;SM00906	NA	NA	NA
PTB38556.1	IPR000246	NA	NA	SSF56235	GO:0016787	PF01112	PTHR10188;PTHR10188:SF6	mobidb-lite	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	SignalP-noTM	cd04513	NA	G3DSA:3.60.20.30	NA	NA	NA	NA	NA	NA	NA	NA
PTB36787.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46088.1	IPR002347	NA	NA	SSF51735	NA	PF00106	PTHR43431	NA	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA
