Gene	Phobius	interpro	SUPERFAMILY	PANTHER	GO	Pfam	ProSiteProfiles	CDD	TMHMM	Coils	MobiDBLite	PATHWAY	ProSitePatterns	SMART	Gene3D	PIRSF	PRINTS	TIGRFAM	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	SFLD	ProDom
EGR50836.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR036259	SSF103473	PTHR11360:SF224;PTHR11360	GO:0016021;GO:0055085	PF07690	PS50850	cd06174	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50633.1	NA	IPR008409	NA	PTHR13296	GO:0006397	PF05700	NA	NA	NA	Coil	mobidb-lite	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52723.1	NA	IPR027417	SSF52540	PTHR24031;PTHR24031:SF78	GO:0003676;GO:0005524	PF00271;PF00270	PS51194;PS51192;PS51195	cd00268;cd00079	NA	NA	mobidb-lite	NA	PS00039	SM00490;SM00487	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47134.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR002293	NA	PTHR43341;PTHR43341:SF18	GO:0016020;GO:0022857;GO:0055085	PF00324	NA	NA	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.20.1740.10	PIRSF006060	NA	NA	NA	NA	NA	NA	NA	NA
EGR48650.1	NA	IPR003029	SSF50249;SSF48452	PTHR23270;PTHR23270:SF10	GO:0003676;GO:0005515;GO:0006396	PF00575	PS50126	cd05708;cd05702;cd05698;cd05697;cd05707;cd05693;cd05706;cd05703	NA	Coil	mobidb-lite	NA	NA	SM00386;SM00316	G3DSA:2.40.50.140;G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49712.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR020846	SSF103473	PTHR43791:SF62;PTHR43791	GO:0016021;GO:0055085	PF07690	PS50850	cd06174	TMhelix	NA	NA	NA	NA	NA	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR50539.1	NA	IPR009071	SSF47095	PTHR10270;PTHR10270:SF246	NA	PF00505	PS50118	NA	NA	NA	NA	NA	NA	SM00398	G3DSA:1.10.30.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51438.1	NA	IPR016024	SSF48371;SSF56112	PTHR12984:SF6;PTHR12984	GO:0004672;GO:0005524;GO:0006468	PF00069	PS50011	cd14011	NA	Coil	mobidb-lite	NA	NA	SM00220	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45032.1	NA	IPR033939	SSF56752	PTHR11825:SF69;PTHR11825	GO:0004084;GO:0009081;GO:0003824	PF01063	NA	cd01557	NA	NA	NA	KEGG: 00270+2.6.1.42|KEGG: 00280+2.6.1.42|KEGG: 00290+2.6.1.42|KEGG: 00770+2.6.1.42|KEGG: 00966+2.6.1.42|MetaCyc: PWY-5057|MetaCyc: PWY-5076|MetaCyc: PWY-5078|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5108|MetaCyc: PWY-7767|Reactome: R-HSA-70895	PS00770	NA	G3DSA:3.30.470.10;G3DSA:3.20.10.10	PIRSF006468	NA	NA	NA	NA	NA	NA	NA	NA
EGR46003.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR020846	SSF103473	PTHR23500;PTHR23500:SF198	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	PF00083	PS50850	cd06174	TMhelix	NA	mobidb-lite	Reactome: R-HSA-189200	PS00217;PS00216	NA	G3DSA:1.20.1250.20	NA	PR00171	TIGR00879	NA	NA	NA	NA	NA	NA
