Gene	interpro	GO	ProSiteProfiles	Phobius	SMART	TMHMM	SUPERFAMILY	Gene3D	PATHWAY	Pfam	PANTHER	CDD	Coils	ProSitePatterns	MobiDBLite	PRINTS	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	PIRSF	TIGRFAM	Hamap	SFLD	ProDom
PTB63258.1	IPR003439	GO:0005524;GO:0016887;GO:0016020	PS50893	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SM00382	TMhelix	SSF52540	G3DSA:3.40.50.300	Reactome: R-HSA-1369062	PF01061;PF00005	PTHR19241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61819.1	IPR029149	GO:0070006;GO:0016787	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	SSF53092;SSF55920	G3DSA:3.40.350.10;G3DSA:3.90.230.10	NA	PF00557;PF16188;PF16189;PF01321	PTHR43763	cd01085	Coil	PS00491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69284.1	IPR007763	GO:0008137;GO:0009055;GO:0016020	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6799198	PF05071	PTHR12910;PTHR12910:SF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64025.1	IPR018181		NA	NA	NA	NA	SSF53067;SSF100920;SSF100934	G3DSA:1.20.1270.10;G3DSA:3.90.640.10;G3DSA:2.60.34.10;G3DSA:3.30.420.40;G3DSA:3.30.30.30	Reactome: R-HSA-3371453	PF00012	PTHR19375:SF136;PTHR19375	cd10228	Coil	PS01036	mobidb-lite	PR00301	NA	NA	NA	NA	NA	NA	NA	NA
PTB63140.1	IPR020846	GO:0016021;GO:0055085	PS50850	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF103473	G3DSA:1.20.1250.20	NA	PF07690	PTHR23502:SF38;PTHR23502	cd06174	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68407.1	IPR033452	GO:0004348;GO:0006665;GO:0004553	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	SSF51445;SSF51011	G3DSA:2.60.40.1180;G3DSA:3.20.20.80	Reactome: R-HSA-1660662|Reactome: R-HSA-390471	PF17189;PF14587	PTHR11069;PTHR11069:SF23	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB69573.1	IPR016255	GO:0000077;GO:0004694;GO:0006468;GO:0010998;GO:0004672;GO:0005524;GO:0005515	PS50011;PS50908	NA	SM00591;SM00220	NA	SSF56112;SSF54495;SSF55681	G3DSA:3.30.930.10;G3DSA:1.10.510.10;G3DSA:3.30.200.20;G3DSA:3.10.110.10;G3DSA:3.40.50.800	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PF13393;PF12745;PF00069;PF05773	PTHR11042;PTHR11042:SF90	cd14012;cd14046;cd00773	Coil	PS00108;PS00107	mobidb-lite	NA	NA	NA	NA	PIRSF000660	NA	NA	NA	NA
PTB67801.1	IPR031325	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	G3DSA:2.180.10.10	NA	PF05593	PTHR32305:SF6;PTHR32305	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01643;TIGR03696	NA	NA	NA
PTB67024.1	IPR036026	GO:0004571;GO:0005509;GO:0016020;GO:0003824	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	SSF48225	G3DSA:1.50.10.10	NA	PF01532	PTHR11742;PTHR11742:SF55	NA	NA	NA	NA	PR00747	NA	NA	NA	NA	NA	NA	NA	NA
PTB70658.1	IPR004365	GO:0003676;GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004816;GO:0006421	PS50862	NA	NA	NA	SSF50249;SSF55681	G3DSA:3.30.930.10;G3DSA:2.40.50.140;G3DSA:1.10.10.1430	KEGG: 00970+6.1.1.22	PF01336;PF00152	PTHR22594:SF16;PTHR22594	cd00776;cd04323	Coil	NA	NA	PR01042	NA	NA	NA	NA	TIGR00457	NA	NA	NA
PTB70692.1	IPR003439	GO:0005524;GO:0016887	PS50893	NA	SM00382	NA	SSF52540	G3DSA:3.40.50.300	NA	PF12848;PF00005	PTHR19211;PTHR19211:SF58	cd03221	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61884.1	IPR029058	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	SSF53474	G3DSA:3.40.50.1820	NA	PF12697	PTHR43139:SF5;PTHR43139	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB67489.1	IPR027417	NA	NA	NA	NA	NA	SSF52540	NA	NA	NA	PTHR11089:SF63;PTHR11089	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64654.1	IPR012919	NA	PS51469	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	G3DSA:2.60.120.260	NA	NA	PTHR12911;PTHR12911:SF8	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66028.1	IPR015381	GO:0005634;GO:0006302	NA	NA	NA	NA	NA	G3DSA:2.170.210.10	Reactome: R-HSA-5693571	PF09302	PTHR32235	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67008.1	IPR002938	GO:0071949	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	SSF51905	G3DSA:3.50.50.60	NA	PF01494	PTHR13789;PTHR13789:SF238	NA	NA	NA	NA	PR00420	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
PTB70927.1	IPR029636	GO:0006113;GO:0016021	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	PTHR32085	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
