Gene	interpro	GO	ProSitePatterns	ProSiteProfiles	MobiDBLite	Gene3D	SUPERFAMILY	SMART	PANTHER	TMHMM	Phobius	Pfam	CDD	PATHWAY	TIGRFAM	PRINTS	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Coils	PIRSF	Hamap	SFLD	ProDom
augustus_masked-NIGB01000004.1-processed-gene-30.11-mRNA-1	IPR013087	GO:0003676	PS00028	PS50157	mobidb-lite	G3DSA:3.30.160.60	SSF57667	SM00355	PTHR44766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000006.1-processed-gene-3.18-mRNA-1	IPR009571	GO:0005886	NA	NA	NA	NA	NA	NA	PTHR28019:SF3;PTHR28019	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PF06687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-48.28-mRNA-1	IPR000873	GO:0003824;GO:0016740;GO:0031177	PS00012;PS00606;PS00455	PS50075	mobidb-lite	G3DSA:3.30.300.30;G3DSA:3.40.50.150;G3DSA:1.10.1200.10;G3DSA:3.40.50.720;G3DSA:3.30.559.10;G3DSA:3.40.47.10;G3DSA:3.40.366.10;G3DSA:3.40.50.12780;G3DSA:3.10.129.110;G3DSA:3.30.559.30	SSF51735;SSF56801;SSF55048;SSF53901;SSF47336;SSF53335;SSF52777;SSF52151	SM00825;SM00826;SM00822;SM00823;SM00827	PTHR43775:SF19;PTHR43775	NA	NA	PF00501;PF02801;PF00698;PF08659;PF07993;PF00668;PF16197;PF00109;PF08242;PF00550;PF14765	cd02440;cd05930;cd00833	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	TIGR01733	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000007.1-processed-gene-7.21-mRNA-1	IPR001952	GO:0016791;GO:0003824	PS00123	NA	NA	G3DSA:3.40.720.10;G3DSA:1.10.60.40	SSF53649	SM00098	PTHR11596;PTHR11596:SF5	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF00245	cd16012	KEGG: 00730+3.1.3.1|KEGG: 00790+3.1.3.1|MetaCyc: PWY-5083|MetaCyc: PWY-5491	NA	PR00113	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-41.31-mRNA-1	IPR009939	GO:0016977	NA	NA	NA	NA	NA	NA	PTHR42061:SF2;PTHR42061	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PF07335	NA	KEGG: 00520+3.2.1.132	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NIGB01000004.1-processed-gene-28.46-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-10.8-mRNA-1	IPR011527	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	PS00211	PS50929;PS50893	mobidb-lite	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SSF90123;SSF52540	SM00382	PTHR24223;PTHR24223:SF340	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PF00005;PF00664	cd03244;cd03250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGB01000006.1-processed-gene-10.30-mRNA-1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR33048	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-25.8-mRNA-1	IPR008254	GO:0010181;GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0016491;GO:0003958;GO:0070330	PS00086	PS50902;PS51384	NA	G3DSA:3.40.50.80;G3DSA:3.40.50.360;G3DSA:2.40.30.10;G3DSA:1.20.990.10;G3DSA:1.10.630.10	SSF52343;SSF63380;SSF52218;SSF48264	NA	PTHR19384;PTHR19384:SF92	NA	NA	PF00258;PF00067;PF00175;PF00667	cd06206	KEGG: 00071+1.14.14.1|KEGG: 00140+1.14.14.1|KEGG: 00232+1.14.14.1|KEGG: 00380+1.14.14.1|KEGG: 00590+1.14.14.1|KEGG: 00591+1.14.14.1|KEGG: 00627+1.14.14.1|KEGG: 00830+1.14.14.1|KEGG: 00980+1.14.14.1|KEGG: 00982+1.14.14.1|MetaCyc: PWY-5451|MetaCyc: PWY-5665|MetaCyc: PWY-6398|MetaCyc: PWY-6992|MetaCyc: PWY-7466|MetaCyc: PWY-7826	NA	PR00385;PR00463	NA	NA	NA	NA	PIRSF000209	NA	NA	NA
augustus_masked-NIGB01000005.1-processed-gene-14.21-mRNA-1	IPR011701	GO:0016021;GO:0055085	NA	PS50850	mobidb-lite	G3DSA:1.20.1250.20	SSF103473	NA	PTHR43791;PTHR43791:SF46	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PF07690	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-0.3-mRNA-1	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	NA	G3DSA:1.10.630.10	SSF48264	NA	PTHR24281	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	PF00067	NA	NA	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000004.1-augustus-gene-29.15-mRNA-1	IPR013088	GO:0006355;GO:0008270;GO:0043565;GO:0003700	PS00344	PS50114;PS51257	mobidb-lite	G3DSA:3.30.50.10	SSF57716;SSF81995	SM00401	PTHR10071:SF228;PTHR10071	NA	NA	PF00320	cd00202	Reactome: R-HSA-383280	NA	PR00619	NA	NA	NA	Coil	NA	NA	NA	NA
maker-NIGB01000001.1-augustus-gene-26.31-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	PTHR38850	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NIGB01000003.1-augustus-gene-15.37-mRNA-1	IPR015699	GO:0003899;GO:0005634;GO:0006351;GO:0008270;GO:0003677	NA	NA	mobidb-lite	G3DSA:2.40.40.20;G3DSA:1.10.357.120;G3DSA:3.30.70.2850;G3DSA:1.10.274.100;G3DSA:1.20.120.1280;G3DSA:1.10.132.30;G3DSA:3.30.1490.180	SSF64484	SM00663	PTHR19376:SF11;PTHR19376	NA	NA	PF04998;PF05000;PF04983;PF04997;PF00623	cd01435;cd02735	KEGG: 00230+2.7.7.6|KEGG: 00240+2.7.7.6|Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73777|Reactome: R-HSA-73863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGB01000002.1-augustus-gene-0.13-mRNA-1	IPR026854	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR16166;PTHR16166:SF93	NA	NA	PF12624;PF16909;PF16908;PF06650;PF16910	NA	NA	NA	NA	NA	NA	NA	Coil	PIRSF037235	NA	NA	NA
