Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	GO	PRINTS	Pfam	ProSiteProfiles	MobiDBLite	Phobius	TMHMM	CDD	Coils	SFLD	PATHWAY	ProSitePatterns	TIGRFAM	SMART	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	ProDom	PIRSF
OTA04381.1	IPR036188	SSF51905;SSF55424;SSF50022	PTHR43557;PTHR43557:SF2	G3DSA:3.50.50.60;G3DSA:2.102.10.10	GO:0016491;GO:0050660;GO:0055114;GO:0051537	PR00368;PR00411	PF07992;PF00355	PS51296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01510.1	IPR020846	SSF103473	PTHR23501;PTHR23501:SF102	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	GO:0016021;GO:0055085	PR01036	PF07690	PS50850	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05482.1	IPR035213	NA	NA	NA	NA	NA	PF17254	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05782.1	IPR006121	SSF55008;SSF56784;SSF81665;SSF81653	PTHR43520:SF8;PTHR43520	G3DSA:3.30.70.100;G3DSA:3.40.50.1000;G3DSA:2.70.150.20;G3DSA:3.40.1110.10	GO:0030001;GO:0046872;GO:0016021;GO:0006812;GO:0019829;GO:0005507;GO:0000166	PR00119;PR00942	PF00122;PF00403;PF00702	PS50846	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd00371;cd02094	NA	SFLDF00027;SFLDS00003	Reactome: R-HSA-936837	PS00154;PS01229	TIGR01494;TIGR01525;TIGR00003	NA	NA	NA	NA	NA	NA	NA
OTA02539.1	IPR000832	SSF81321	PTHR23112:SF0;PTHR23112	G3DSA:1.20.1070.10	GO:0004930;GO:0007186;GO:0016021;GO:0004888;GO:0007166	NA	PF00002	PS50261	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02688.1	IPR001406	SSF55120	PTHR11142;PTHR11142:SF4	G3DSA:3.30.70.660;G3DSA:3.30.70.580	GO:0001522;GO:0003723;GO:0009451;GO:0009982	NA	PF01416	NA	mobidb-lite	NA	NA	cd02568	Coil	NA	NA	NA	TIGR00071	NA	NA	NA	NA	NA	NA	NA
OTA06794.1	NA	SSF57845	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05562.1	IPR019412	NA	PTHR31859;PTHR31859:SF1	NA	NA	NA	PF10300	NA	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00419.1	IPR020845	SSF56801;SSF52777;SSF47336	PTHR45527	G3DSA:3.40.50.12780;G3DSA:3.30.559.10;G3DSA:3.30.300.30;G3DSA:1.10.1200.10;G3DSA:3.30.559.30	GO:0003824	NA	PF00501;PF00668;PF13193	PS50075	NA	NA	NA	cd05930	NA	NA	Reactome: R-HSA-389661	PS00455;PS00012	NA	NA	NA	NA	NA	NA	NA	NA
OTA03036.1	IPR001752	SSF52540	PTHR24115;PTHR24115:SF715	G3DSA:3.40.850.10	GO:0003777;GO:0005524;GO:0007018;GO:0008017	PR00380	PF00225	PS50067	mobidb-lite	NA	NA	cd01366	Coil	NA	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PS00411	NA	SM00129	NA	NA	NA	NA	NA	NA
OTA08317.1	IPR020631	SSF53223;SSF51735	PTHR10025;PTHR10025:SF5	G3DSA:3.40.50.720;G3DSA:3.40.50.10860	GO:0004488;GO:0055114	PR00085	PF02882;PF00763	NA	NA	NA	NA	cd01079	NA	NA	KEGG: 00670+1.5.1.5+3.5.4.9|KEGG: 00720+1.5.1.5+3.5.4.9|MetaCyc: PWY-1722|MetaCyc: PWY-2201|MetaCyc: PWY-3841|MetaCyc: PWY-5030|MetaCyc: PWY-5497|MetaCyc: PWY-6613|MetaCyc: PWY-7909|Reactome: R-HSA-196757	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04869.1	IPR016166	SSF55103;SSF56176	PTHR11748;PTHR11748:SF35	G3DSA:1.10.45.10;G3DSA:3.30.70.2740;G3DSA:3.30.465.40	GO:0071949;GO:0003824;GO:0050660;GO:0016491;GO:0055114	NA	PF02913;PF01565	PS51387	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04328.1	IPR004837	NA	PTHR31503;PTHR31503:SF18	G3DSA:1.20.58.1130;G3DSA:1.20.1420.30	GO:0016021;GO:0055085	NA	PF01699	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	Reactome: R-HSA-425561	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06676.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
OTA01954.1	IPR012916	NA	PTHR12765	NA	GO:0005634;GO:0007094	NA	PF07808	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08182.1	IPR003697	SSF52972	PTHR43213:SF5;PTHR43213	G3DSA:3.90.950.10	GO:0047429	NA	PF02545	NA	mobidb-lite	NA	NA	cd00555	NA	NA	NA	NA	TIGR00172	NA	NA	NA	NA	MF_00528	NA	NA
