Gene	MobiDBLite	interpro	GO	SUPERFAMILY	PATHWAY	CDD	SMART	PANTHER	Pfam	Phobius	Gene3D	TMHMM	SignalP_GRAM_NEGATIVE	Coils	PIRSF	PRINTS	ProSiteProfiles	ProSitePatterns	Hamap	TIGRFAM	SignalP_EUK	SignalP_GRAM_POSITIVE	ProDom	SFLD
augustus_masked-NIGD01000008.1-processed-gene-3.16-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-7.10-mRNA-1	mobidb-lite	IPR015797	GO:0016787;GO:0051539;GO:0006284;GO:0003824;GO:0006281	SSF55811;SSF48150	Reactome: R-HSA-110330|Reactome: R-HSA-110331|Reactome: R-HSA-110357	cd03431;cd00056	SM00525;SM00478	PTHR42944	PF00730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-45.11-mRNA-1	mobidb-lite	IPR001441	GO:0016765;GO:0001525;GO:0019408;GO:1904423	SSF64005	Reactome: R-HSA-446199	NA	NA	PTHR21528	PF01255	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.40.1180.10	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000010.1-augustus-gene-19.13-mRNA-1	mobidb-lite	IPR014371	GO:0008374	NA	NA	NA	NA	PTHR10408;PTHR10408:SF14	PF03062	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	TMhelix	SignalP-noTM	Coil	PIRSF000439	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-7.26-mRNA-1	NA	IPR016813		NA	KEGG: 00190+1.6.99.3	NA	NA	PTHR37325	NA	NA	NA	NA	NA	NA	PIRSF022976	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-18.21-mRNA-1	mobidb-lite	IPR001807	GO:0005247;GO:0006821;GO:0016020;GO:0055085	SSF81340;SSF54631	Reactome: R-HSA-2672351	cd04591;cd03684	NA	PTHR11689;PTHR11689:SF93	PF00571;PF00654	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.10.580.20;G3DSA:1.10.3080.10;G3DSA:3.90.1280.20	TMhelix	NA	NA	NA	PR00762	PS51371	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000003.1-augustus-gene-51.18-mRNA-1	NA	IPR018136	GO:0003861;GO:0009098;GO:0051539;GO:0009316	SSF52016;SSF53732	KEGG: 00290+4.2.1.33	cd01583;cd01577	NA	PTHR43822;PTHR43822:SF3	PF00694;PF00330	NA	G3DSA:3.30.499.10;G3DSA:3.20.19.10;G3DSA:3.30.499.20	NA	NA	NA	PIRSF001418	PR00415	NA	PS01244;PS00450	MF_01026;MF_01031	TIGR00171;TIGR00170	NA	NA	NA	NA
maker-NIGD01000011.1-augustus-gene-2.32-mRNA-1	mobidb-lite	IPR036890	NA	SSF55874	NA	NA	NA	PTHR15600:SF29;PTHR15600	PF12449	NA	G3DSA:3.30.565.10	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-47.17-mRNA-1	mobidb-lite	IPR013766	GO:0045454	SSF52833	NA	cd02961	NA	PTHR18929:SF135;PTHR18929	PF00085	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	G3DSA:3.40.30.10	TMhelix	SignalP-noTM	Coil	NA	NA	PS51352	PS00194	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
maker-NIGD01000003.1-augustus-gene-59.25-mRNA-1	mobidb-lite	IPR019007	GO:0006396;GO:0001522;GO:0031429;GO:0042254	NA	Reactome: R-HSA-72163	NA	NA	PTHR23237:SF3;PTHR23237	PF09429	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000012.1-augustus-gene-0.25-mRNA-1	NA	IPR020846	GO:0016020;GO:0022857;GO:0055085;GO:0016021	SSF103473	Reactome: R-HSA-189200	cd06174	NA	PTHR23500:SF108;PTHR23500	PF00083	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.20.1250.20	TMhelix	NA	NA	NA	PR00171	PS50850	NA	NA	TIGR00879	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-20.26-mRNA-1	mobidb-lite	IPR018047	GO:0008519;GO:0016020;GO:0072488;GO:0015696	SSF111352	NA	NA	NA	PTHR43029;PTHR43029:SF4	PF00909	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.10.3430.10	TMhelix	NA	NA	NA	NA	NA	PS01219	NA	TIGR00836	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-77.31-mRNA-1	mobidb-lite	IPR037753	GO:0008180	NA	Reactome: R-HSA-5696394|Reactome: R-HSA-6781823|Reactome: R-HSA-8856825|Reactome: R-HSA-8951664	NA	NA	PTHR10758:SF1;PTHR10758	NA	NA	G3DSA:1.25.40.570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-40.41-mRNA-1	NA	IPR005829	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	SSF103473	Reactome: R-HSA-189200	cd06174	NA	PTHR23500;PTHR23500:SF125	PF00083	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	TMhelix	NA	NA	NA	PR00171	PS50850	PS00216;PS00217	NA	TIGR00879	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-53.12-mRNA-1	mobidb-lite	IPR000795	GO:0003924;GO:0005525	SSF50465;SSF50447;SSF52540	NA	cd03708;cd03694;cd04165	NA	PTHR43721:SF9;PTHR43721	PF00009;PF03144	NA	G3DSA:3.40.50.300;G3DSA:2.40.30.10	NA	NA	NA	NA	NA	PS51722	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-2.23-mRNA-1	NA	IPR008927	GO:0055114;GO:0004455;GO:0009082;GO:0016491	SSF48179;SSF51735	KEGG: 00290+1.1.1.86|KEGG: 00770+1.1.1.86|MetaCyc: PWY-5103|MetaCyc: PWY-7111	NA	NA	PTHR21371:SF13;PTHR21371	PF01450;PF07991	NA	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	NA	NA	NA	PIRSF000119	NA	PS51850;PS51851	NA	NA	TIGR00465	NA	SignalP-TM	NA	NA
maker-NIGD01000009.1-augustus-gene-18.24-mRNA-1	mobidb-lite	IPR002641	GO:0006629	SSF51206;SSF52151	NA	cd00038	SM00100	PTHR14226:SF29;PTHR14226	PF01734;PF00027	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:3.40.1090.10;G3DSA:2.60.120.10	TMhelix	NA	NA	NA	NA	PS51635;PS50042	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000008.1-processed-gene-5.32-mRNA-1	mobidb-lite	IPR008427	NA	NA	NA	NA	SM00747	PTHR35607:SF5;PTHR35607	PF05730	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
augustus_masked-NIGD01000011.1-processed-gene-2.18-mRNA-1	NA	IPR002813	GO:0004358;GO:0006526	SSF56266	KEGG: 00220+2.3.1.35+2.3.1.1|MetaCyc: PWY-5154	cd02152	NA	PTHR23100;PTHR23100:SF0	PF01960	NA	G3DSA:3.30.2330.10;G3DSA:3.60.70.12;G3DSA:3.10.20.340	NA	NA	NA	NA	NA	NA	NA	MF_01106	TIGR00120	NA	SignalP-TM	PD004193	NA
augustus_masked-NIGD01000010.1-processed-gene-21.9-mRNA-1	NA	IPR001578	GO:0004843;GO:0005622;GO:0006511;GO:0016579	SSF54001	Reactome: R-HSA-5689603	cd09617	NA	PTHR10589:SF16;PTHR10589	PF01088;PF18031	NA	G3DSA:3.40.532.10	NA	NA	NA	PIRSF038120	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-58.30-mRNA-1	mobidb-lite	IPR018465	GO:0005634;GO:0042393;GO:0046982	NA	Reactome: R-HSA-606279	NA	NA	PTHR15992	PF10384	NA	G3DSA:1.10.20.10	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000005.1-augustus-gene-2.27-mRNA-1	NA	IPR018083	GO:0016628;GO:0055114;GO:0016020	NA	NA	NA	NA	PTHR21257:SF38;PTHR21257	PF01222	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.120.1630	TMhelix	NA	NA	NA	NA	NA	PS01018;PS01017	NA	NA	NA	NA	NA	NA
maker-NIGD01000007.1-augustus-gene-13.9-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000003.1-processed-gene-42.15-mRNA-1	mobidb-lite	IPR007751	NA	SSF53474	NA	NA	NA	PTHR12482;PTHR12482:SF11	PF05057	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000009.1-augustus-gene-6.27-mRNA-1	mobidb-lite	IPR037938	GO:0031011;GO:0035267;GO:0043141;GO:0097255;GO:0003678;GO:0005524	SSF50249	Reactome: R-HSA-171319|Reactome: R-HSA-201722|Reactome: R-HSA-3214847|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-5696394|Reactome: R-HSA-606279	NA	NA	PTHR11093:SF6;PTHR11093	PF06068;PF17856	NA	G3DSA:1.10.8.60;G3DSA:2.40.50.360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000009.1-processed-gene-3.15-mRNA-1	mobidb-lite	IPR001680	GO:0005515;GO:0032008	SSF50978	NA	NA	SM00320	PTHR22850;PTHR22850:SF131	PF00400	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	PS50294;PS50082	PS00678	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-4.11-mRNA-1	NA	IPR036736	GO:0003824;GO:0031177	SSF47336;SSF56801;SSF52777	Reactome: R-HSA-389661	NA	SM00823	PTHR45527	PF00501;PF00550;PF00668	NA	G3DSA:3.30.300.30;G3DSA:3.30.559.10;G3DSA:1.10.1200.10;G3DSA:3.30.559.30;G3DSA:3.40.50.12780	NA	NA	NA	NA	NA	PS50075	PS00012	NA	NA	NA	NA	NA	NA
maker-NIGD01000004.1-augustus-gene-47.30-mRNA-1	mobidb-lite	IPR010318	GO:0016787	SSF160991;SSF53067	Reactome: R-HSA-174403|Reactome: R-HSA-5578998	NA	NA	PTHR11365:SF10;PTHR11365	PF06032;PF05378;PF01968	NA	G3DSA:3.30.420.40;G3DSA:3.40.1610.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGD01000001.1-augustus-gene-58.25-mRNA-1	mobidb-lite	IPR002524	GO:0006812;GO:0008324;GO:0016021;GO:0055085	SSF160240;SSF161111	Reactome: R-HSA-435368	NA	NA	PTHR11562:SF17;PTHR11562	PF01545	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1510.10	TMhelix	NA	NA	NA	NA	NA	NA	NA	TIGR01297	NA	NA	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-57.3-mRNA-1	mobidb-lite	IPR019364	GO:0003712;GO:0006357;GO:0016592;GO:0003824;GO:0008484	SSF53649	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	cd16032	NA	PTHR10342;PTHR10342:SF261	PF10232;PF00884;PF12411	NA	G3DSA:3.40.720.10	NA	NA	NA	NA	NA	NA	PS00149	NA	TIGR03417	NA	NA	PD114219	NA
augustus_masked-NIGD01000004.1-processed-gene-10.15-mRNA-1	mobidb-lite	IPR006762	GO:0005525	SSF52540	Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-8943724	cd11384	NA	PTHR11259:SF1;PTHR11259	PF04670	NA	G3DSA:3.40.50.300;G3DSA:3.30.450.190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000005.1-processed-gene-4.0-mRNA-1	NA	NA	NA	NA	NA	NA	NA	PTHR38850	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
augustus_masked-NIGD01000001.1-processed-gene-76.12-mRNA-1	mobidb-lite	IPR040112	NA	NA	NA	NA	NA	PTHR22934;PTHR22934:SF23	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGD01000011.1-processed-gene-2.2-mRNA-1	mobidb-lite	IPR000727	GO:0016020;GO:0016192;GO:0048193	SSF47661;SSF58038	Reactome: R-HSA-6811440	cd15851	SM00397	PTHR19957;PTHR19957:SF124	PF09177	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.20.5.110;G3DSA:1.20.58.90	TMhelix	NA	NA	NA	NA	PS50192	NA	NA	NA	NA	NA	NA	NA
