KKP00652.1	96d16e2a21e6c2cd3658a81b19299b45	827	Pfam	PF13637	Ankyrin repeats (many copies)	399	440	5.4E-7	T	04-07-2020
KKP00652.1	96d16e2a21e6c2cd3658a81b19299b45	827	Pfam	PF13606	Ankyrin repeat	544	571	0.0044	T	04-07-2020	IPR002110	Ankyrin repeat	GO:0005515	
KKP02894.1	a844d4e7932fba8112adfaa9f6498a9b	434	Pfam	PF01757	Acyltransferase family	5	369	6.4E-23	T	04-07-2020	IPR002656	Acyltransferase 3	GO:0016747	
KKP03881.1	9207ad4482c7313f5c7eb5158d1b8078	366	SignalP_EUK	SignalP-noTM		1	18	-	T	04-07-2020
KKP06166.1	8486790f43fb39d39b6a31af2dcc60bf	599	Pfam	PF00743	Flavin-binding monooxygenase-like	8	203	1.8E-12	T	04-07-2020	IPR020946	Flavin monooxygenase-like	GO:0004499|GO:0050660|GO:0050661|GO:0055114	
KKO97132.1	e72c7cf707f0ce7129fe004dd460f9f8	721	Pfam	PF00493	MCM P-loop domain	308	530	8.5E-105	T	04-07-2020	IPR001208	MCM domain	GO:0003677|GO:0005524|GO:0006270	
KKO97132.1	e72c7cf707f0ce7129fe004dd460f9f8	721	Pfam	PF17855	MCM AAA-lid domain	548	637	5.9E-28	T	04-07-2020	IPR041562	MCM, AAA-lid domain		
KKO97132.1	e72c7cf707f0ce7129fe004dd460f9f8	721	Pfam	PF17207	MCM OB domain	126	263	2.6E-35	T	04-07-2020	IPR033762	MCM OB domain		Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962
KKO97132.1	e72c7cf707f0ce7129fe004dd460f9f8	721	Pfam	PF14551	MCM N-terminal domain	27	105	8.8E-16	T	04-07-2020	IPR027925	MCM N-terminal domain		Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052
KKO98621.1	abc6417a3acb8101605613143185d27f	309	Pfam	PF00753	Metallo-beta-lactamase superfamily	93	211	7.4E-5	T	04-07-2020	IPR001279	Metallo-beta-lactamase		
KKP03807.1	dfe49eadbf4b9ade1224e1860ee3040a	339	Pfam	PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	174	299	1.4E-10	T	04-07-2020	IPR004360	Glyoxalase/fosfomycin resistance/dioxygenase domain		
