PNP43306.1	3723fe2811778b606fa0b8119660eb00	130	Pfam	PF00098	Zinc knuckle	6	22	1.5E-9	T	04-07-2020	IPR001878	Zinc finger, CCHC-type	GO:0003676|GO:0008270	
PNP43306.1	3723fe2811778b606fa0b8119660eb00	130	Pfam	PF00098	Zinc knuckle	90	106	2.9E-9	T	04-07-2020	IPR001878	Zinc finger, CCHC-type	GO:0003676|GO:0008270	
PNP43306.1	3723fe2811778b606fa0b8119660eb00	130	Pfam	PF00098	Zinc knuckle	35	50	2.9E-7	T	04-07-2020	IPR001878	Zinc finger, CCHC-type	GO:0003676|GO:0008270	
PNP43306.1	3723fe2811778b606fa0b8119660eb00	130	Pfam	PF00098	Zinc knuckle	70	85	7.2E-6	T	04-07-2020	IPR001878	Zinc finger, CCHC-type	GO:0003676|GO:0008270	
PNP43306.1	3723fe2811778b606fa0b8119660eb00	130	Pfam	PF00098	Zinc knuckle	114	130	1.0E-5	T	04-07-2020	IPR001878	Zinc finger, CCHC-type	GO:0003676|GO:0008270	
PNP38608.1	9467ffa4fc8a9acc77fe64fbad2afa3d	386	Pfam	PF02817	e3 binding domain	132	166	1.1E-7	T	04-07-2020	IPR004167	Peripheral subunit-binding domain	GO:0016746	Reactome: R-HSA-389661
PNP38608.1	9467ffa4fc8a9acc77fe64fbad2afa3d	386	Pfam	PF00364	Biotin-requiring enzyme	1	71	8.4E-19	T	04-07-2020	IPR000089	Biotin/lipoyl attachment		
PNP41168.1	8d0a72f2d4eadfe37fd70f19c13f9bd0	153	Pfam	PF09696	Ctf8	27	145	1.4E-41	T	04-07-2020	IPR018607	Chromosome transmission fidelity protein 8	GO:0007064|GO:0031390	
PNP42792.1	4cddff34868c4e3376a78fc2d17e6c0a	529	Pfam	PF00096	Zinc finger, C2H2 type	438	460	1.8E-6	T	04-07-2020	IPR013087	Zinc finger C2H2-type	GO:0003676	
PNP42792.1	4cddff34868c4e3376a78fc2d17e6c0a	529	Pfam	PF00096	Zinc finger, C2H2 type	409	432	4.4E-5	T	04-07-2020	IPR013087	Zinc finger C2H2-type	GO:0003676	
PNP37863.1	ab62ed764bbcc0b3420f517bb8e10450	457	Pfam	PF17856	TIP49 AAA-lid domain	375	440	1.4E-24	T	04-07-2020	IPR041048	RuvB-like, AAA-lid domain		Reactome: R-HSA-171319|Reactome: R-HSA-3214847
PNP37863.1	ab62ed764bbcc0b3420f517bb8e10450	457	Pfam	PF06068	TIP49 P-loop domain	15	369	2.0E-166	T	04-07-2020	IPR010339	TIP49, P-loop domain	GO:0003678|GO:0005524	Reactome: R-HSA-171319|Reactome: R-HSA-3214847
PNP43196.1	035a653ef473478b9304089aac7ae4a8	588	Pfam	PF07690	Major Facilitator Superfamily	61	481	1.6E-11	T	04-07-2020	IPR011701	Major facilitator superfamily	GO:0055085	
PNP45478.1	259bd57d2abc3727665e98a09449a5ac	407	Pfam	PF03576	Peptidase family S58	34	380	3.5E-114	T	04-07-2020	IPR005321	Peptidase S58, DmpA		
PNP43736.1	b5e775825dffeadf5e48772a6c449227	184	SignalP_EUK	SignalP-noTM		1	22	-	T	04-07-2020
PNP44379.1	ec596562a595fca913590bb3ee7c97c0	165	SignalP_EUK	SignalP-noTM		1	28	-	T	04-07-2020
