Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-NODE_102_length_82253_cov_48.393968-processed-gene-0.15-mRNA-1	AA3(10-543)	AA3	AA3_2	N	3
augustus_masked-NODE_103_length_81497_cov_39.283114-processed-gene-0.12-mRNA-1	GH55(40-785)	GH55	GH55	N	3
augustus_masked-NODE_109_length_78457_cov_45.243636-processed-gene-0.3-mRNA-1	GH47(104-577)	GH47	GH47	N	3
augustus_masked-NODE_10_length_272981_cov_47.056631-processed-gene-1.69-mRNA-1	AA3_3(8-633)	N	AA3_3	N	2
augustus_masked-NODE_118_length_74922_cov_48.085340-processed-gene-0.4-mRNA-1	GH128(209-423)	N	N	N	1
augustus_masked-NODE_11_length_270656_cov_47.001638-processed-gene-1.25-mRNA-1	GH18(43-367)	GH18	GH18	N	3
augustus_masked-NODE_125_length_73241_cov_46.432147-processed-gene-0.13-mRNA-1	GH5_5(23-315)	GH5	GH5_5	N	3
augustus_masked-NODE_132_length_71667_cov_50.166942-processed-gene-0.34-mRNA-1	GH28(100-436)	GH28	GH28	N	3
augustus_masked-NODE_133_length_71541_cov_34.290181-processed-gene-0.5-mRNA-1	GH11(44-214)	GH11	N	N	2
augustus_masked-NODE_140_length_69927_cov_48.243352-processed-gene-0.3-mRNA-1	GH18(510-871)	GH18+CBM18+CBM50	CBM18+GH18	N	3
augustus_masked-NODE_148_length_64702_cov_49.691599-processed-gene-0.10-mRNA-1	GH5_12(15-549)	GH5	GH5_12	N	3
augustus_masked-NODE_14_length_223582_cov_47.348450-processed-gene-1.17-mRNA-1	GT39(66-310)	GT39	GT39	N	3
augustus_masked-NODE_14_length_223582_cov_47.348450-processed-gene-1.18-mRNA-1	GT69(60-257)	GT69	GT69	N	3
augustus_masked-NODE_156_length_61002_cov_51.280131-processed-gene-0.16-mRNA-1	GH3(59-265)	GH3	GH3	N	3
augustus_masked-NODE_15_length_210320_cov_43.855837-processed-gene-1.1-mRNA-1	GH18(37-326)	GH18	CBM1+GH18	N	3
augustus_masked-NODE_15_length_210320_cov_43.855837-processed-gene-1.16-mRNA-1	GH20(188-564)	GH20	GH20	N	3
augustus_masked-NODE_162_length_59190_cov_45.966730-processed-gene-0.9-mRNA-1	GH49(52-606)	GH49	GH49	N	3
augustus_masked-NODE_171_length_57720_cov_48.161131-processed-gene-0.10-mRNA-1	GH16(81-221)	GH16	GH16	N	3
augustus_masked-NODE_178_length_54788_cov_51.107499-processed-gene-0.10-mRNA-1	GH18(77-336)	N	GH18	N	2
augustus_masked-NODE_179_length_54772_cov_44.827413-processed-gene-0.11-mRNA-1	GH18(31-268)	GH18	GH18	N	3
augustus_masked-NODE_179_length_54772_cov_44.827413-processed-gene-0.6-mRNA-1	GH28(54-376)	GH28	GH28	N	3
augustus_masked-NODE_17_length_203802_cov_50.618800-processed-gene-0.4-mRNA-1	GH72(21-330)	GH72	CBM43+GH72	N	3
augustus_masked-NODE_17_length_203802_cov_50.618800-processed-gene-1.26-mRNA-1	AA4(1646-1861)	N	N	N	1
augustus_masked-NODE_17_length_203802_cov_50.618800-processed-gene-1.48-mRNA-1	GH92(257-745)	GH92	GH92	N	3
augustus_masked-NODE_185_length_53927_cov_33.791729-processed-gene-0.4-mRNA-1	AA7(30-227)	N	N	N	1
augustus_masked-NODE_19_length_201490_cov_48.986974-processed-gene-0.23-mRNA-1	GH63(600-812)	GH63	GH63	N	3
augustus_masked-NODE_19_length_201490_cov_48.986974-processed-gene-1.35-mRNA-1	GT90(338-639)	GT90	GT90	N	3
augustus_masked-NODE_1_length_484860_cov_50.546594-processed-gene-3.39-mRNA-1	CE10(75-324)	N	N	N	1
augustus_masked-NODE_205_length_47296_cov_39.231953-processed-gene-0.13-mRNA-1	AA2(90-339)	N	N	N	1
augustus_masked-NODE_206_length_46920_cov_35.216785-processed-gene-0.5-mRNA-1	GH132(442-750)	GH132	N	N	2
augustus_masked-NODE_207_length_46662_cov_46.168583-processed-gene-0.8-mRNA-1	GH16(101-322)	N	N	N	1
augustus_masked-NODE_20_length_197905_cov_46.958691-processed-gene-0.47-mRNA-1	GH76(73-444)	GH76	GH76	N	3
augustus_masked-NODE_213_length_45035_cov_50.180057-processed-gene-0.12-mRNA-1	GH31(234-719)	GH31	GH31	N	3
augustus_masked-NODE_213_length_45035_cov_50.180057-processed-gene-0.14-mRNA-1	GH2(109-727)	GH2	GH2	N	3
augustus_masked-NODE_21_length_195582_cov_43.559505-processed-gene-0.41-mRNA-1	GH16(89-332)	GH16	N	N	2
augustus_masked-NODE_220_length_42952_cov_21.643713-processed-gene-0.2-mRNA-1	CE10(94-341)	N	N	N	1
augustus_masked-NODE_220_length_42952_cov_21.643713-processed-gene-0.5-mRNA-1	GH17(68-313)	GH17	GH17	N	3
augustus_masked-NODE_225_length_40653_cov_40.065760-processed-gene-0.0-mRNA-1	CE10(81-373)	N	N	N	1
augustus_masked-NODE_229_length_40008_cov_42.273714-processed-gene-0.4-mRNA-1	GH16(112-325)	N	N	N	1
augustus_masked-NODE_22_length_194164_cov_49.264738-processed-gene-0.11-mRNA-1	GT90(844-1124)	GT90	N	N	2
augustus_masked-NODE_22_length_194164_cov_49.264738-processed-gene-0.25-mRNA-1	AA7(95-530)	N	N	N	1
augustus_masked-NODE_22_length_194164_cov_49.264738-processed-gene-0.41-mRNA-1	GH16(69-242)	GH16	GH16	N	3
augustus_masked-NODE_22_length_194164_cov_49.264738-processed-gene-0.55-mRNA-1	GH3(192-404)	GH3	GH3	N	3
augustus_masked-NODE_235_length_39307_cov_44.854288-processed-gene-0.1-mRNA-1	GH115(20-616)	GH115	GH115	N	3
augustus_masked-NODE_23_length_184657_cov_42.976307-processed-gene-0.55-mRNA-1	GH31(376-823)	GH31	GH31	N	3
augustus_masked-NODE_23_length_184657_cov_42.976307-processed-gene-0.57-mRNA-1	GH18(38-232)	GH18	N	N	2
augustus_masked-NODE_24_length_183160_cov_40.450208-processed-gene-0.11-mRNA-1	GT69(120-377)	GT69	GT69	N	3
augustus_masked-NODE_250_length_35002_cov_51.629591-processed-gene-0.4-mRNA-1	AA3_2(18-590)	AA3	N	N	2
augustus_masked-NODE_25_length_181697_cov_51.705028-processed-gene-0.60-mRNA-1	GT57(74-557)	GT57	GT57	N	3
augustus_masked-NODE_262_length_33731_cov_25.518480-processed-gene-0.5-mRNA-1	GH72(16-332)	GH72	GH72	N	3
augustus_masked-NODE_27_length_170086_cov_45.865409-processed-gene-0.43-mRNA-1	GT64(95-343)	N	N	N	1
augustus_masked-NODE_280_length_29986_cov_49.752704-processed-gene-0.7-mRNA-1	CE10(113-539)	N	N	N	1
augustus_masked-NODE_289_length_28484_cov_45.185704-processed-gene-0.9-mRNA-1	GH43(27-314)+CBM66(332-485)	GH43	CBM66+GH43_34	N	3
augustus_masked-NODE_294_length_27120_cov_16.794391-processed-gene-0.0-mRNA-1	AA7(133-314)	N	N	N	1
augustus_masked-NODE_29_length_164543_cov_47.811217-processed-gene-0.71-mRNA-1	GT17(97-379)	GT17	N	N	2
augustus_masked-NODE_2_length_436630_cov_48.410920-processed-gene-1.14-mRNA-1	CE5(37-230)	N	N	N	1
augustus_masked-NODE_2_length_436630_cov_48.410920-processed-gene-3.23-mRNA-1	GT4(267-421)	GT4	GT4	N	3
augustus_masked-NODE_2_length_436630_cov_48.410920-processed-gene-3.24-mRNA-1	PL8(704-932)	N	N	N	1
augustus_masked-NODE_309_length_24479_cov_54.546033-processed-gene-0.5-mRNA-1	GT32(96-178)	GT32	GT32	N	3
augustus_masked-NODE_313_length_23839_cov_46.273490-processed-gene-0.1-mRNA-1	CBM21(298-404)	CBM21	CBM21	N	3
augustus_masked-NODE_318_length_23092_cov_52.090398-processed-gene-0.9-mRNA-1	GT1(32-455)	N	N	N	1
augustus_masked-NODE_31_length_163481_cov_44.283746-processed-gene-0.33-mRNA-1	GT32(118-197)	GT32	GT32	N	3
augustus_masked-NODE_344_length_18537_cov_31.367409-processed-gene-0.2-mRNA-1	GH5_5(234-528)	GH5+CBM1	CBM1+GH5_5	N	3
augustus_masked-NODE_3_length_377419_cov_47.972443-processed-gene-2.42-mRNA-1	CE10(81-372)	N	N	N	1
augustus_masked-NODE_41_length_138089_cov_46.407134-processed-gene-0.49-mRNA-1	AA7(32-245)	N	N	N	1
augustus_masked-NODE_41_length_138089_cov_46.407134-processed-gene-0.57-mRNA-1	GH3(98-347)	GH3	GH3	N	3
augustus_masked-NODE_42_length_137852_cov_50.664985-processed-gene-0.38-mRNA-1	AA7(115-304)	N	AA7	N	2
augustus_masked-NODE_42_length_137852_cov_50.664985-processed-gene-0.43-mRNA-1	GT4(227-404)	GT4	GT4	N	3
augustus_masked-NODE_42_length_137852_cov_50.664985-processed-gene-0.49-mRNA-1	GH79(24-430)	N	N	N	1
augustus_masked-NODE_48_length_132367_cov_46.539012-processed-gene-0.33-mRNA-1	CE4(82-215)	CE4	N	N	2
augustus_masked-NODE_49_length_132195_cov_49.441704-processed-gene-0.25-mRNA-1	GH67(18-703)	GH67	GH67	N	3
augustus_masked-NODE_49_length_132195_cov_49.441704-processed-gene-0.44-mRNA-1	GH30_3(60-482)	GH30	GH30_3	N	3
augustus_masked-NODE_4_length_373113_cov_48.026344-processed-gene-1.13-mRNA-1	GH18(41-271)	GH18	GH18	N	3
augustus_masked-NODE_4_length_373113_cov_48.026344-processed-gene-1.21-mRNA-1	GH92(349-862)	GH92	GH92	N	3
augustus_masked-NODE_4_length_373113_cov_48.026344-processed-gene-2.3-mRNA-1	CE10(24-310)	N	N	N	1
augustus_masked-NODE_4_length_373113_cov_48.026344-processed-gene-2.41-mRNA-1	AA7(16-380)	N	N	N	1
augustus_masked-NODE_508_length_8717_cov_25.631898-processed-gene-0.0-mRNA-1	GH3(34-245)	GH3	GH3	N	3
augustus_masked-NODE_55_length_121438_cov_49.319732-processed-gene-0.60-mRNA-1	GH47(107-615)	GH47	GH47	N	3
augustus_masked-NODE_56_length_119089_cov_31.845547-processed-gene-0.20-mRNA-1	CE10(451-678)	N	N	N	1
augustus_masked-NODE_57_length_118273_cov_45.929655-processed-gene-0.28-mRNA-1	GT1(208-525)	GT1	GT1	N	3
augustus_masked-NODE_57_length_118273_cov_45.929655-processed-gene-0.43-mRNA-1	GH31(257-698)	GH31	GH31	N	3
augustus_masked-NODE_5_length_369570_cov_49.812937-processed-gene-0.22-mRNA-1	PL1_2(68-239)	PL1	N	N	2
augustus_masked-NODE_5_length_369570_cov_49.812937-processed-gene-1.16-mRNA-1	GT32(88-165)	N	N	N	1
augustus_masked-NODE_5_length_369570_cov_49.812937-processed-gene-1.30-mRNA-1	GT20(159-616)	GT20	GT20	N	3
augustus_masked-NODE_5_length_369570_cov_49.812937-processed-gene-1.5-mRNA-1	GT64(104-349)	N	N	N	1
augustus_masked-NODE_5_length_369570_cov_49.812937-processed-gene-2.57-mRNA-1	GH18(22-448)	N	N	N	1
augustus_masked-NODE_5_length_369570_cov_49.812937-processed-gene-2.71-mRNA-1	GH16(105-262)	GH16+CBM18	CBM18+GH16	N	3
augustus_masked-NODE_5_length_369570_cov_49.812937-processed-gene-2.76-mRNA-1	GT15(104-399)	GT15	GT15	N	3
augustus_masked-NODE_64_length_108683_cov_48.410304-processed-gene-0.16-mRNA-1	GH3(67-298)	GH3	GH3	N	3
augustus_masked-NODE_67_length_105348_cov_48.213123-processed-gene-0.30-mRNA-1	GH128(40-274)	GH128	N	N	2
augustus_masked-NODE_67_length_105348_cov_48.213123-processed-gene-0.47-mRNA-1	PL7_4(30-249)	PL7	N	N	2
augustus_masked-NODE_6_length_318289_cov_41.506698-processed-gene-2.24-mRNA-1	AA3_2(8-567)	AA3	AA3_2	N	3
augustus_masked-NODE_70_length_104117_cov_40.339465-processed-gene-0.6-mRNA-1	GH18(32-275)	GH18	GH18	N	3
augustus_masked-NODE_76_length_101144_cov_42.020422-processed-gene-0.18-mRNA-1	GT62(111-375)	GT62	GT62	N	3
augustus_masked-NODE_79_length_95875_cov_50.363663-processed-gene-0.19-mRNA-1	GH64(76-454)	N	N	N	1
augustus_masked-NODE_79_length_95875_cov_50.363663-processed-gene-0.8-mRNA-1	GH125(93-503)	GH125	GH125	N	3
augustus_masked-NODE_82_length_94248_cov_41.846782-processed-gene-0.17-mRNA-1	GH31(246-817)	GH31	GH31	N	3
augustus_masked-NODE_88_length_89010_cov_48.931370-processed-gene-0.31-mRNA-1	GH16(134-421)	GH16	GH16	N	3
augustus_masked-NODE_89_length_88509_cov_48.591704-processed-gene-0.19-mRNA-1	GT4(253-379)	GT4	GT4	N	3
augustus_masked-NODE_8_length_304307_cov_47.353508-processed-gene-0.7-mRNA-1	GT33(42-466)	GT33	GT33	N	3
augustus_masked-NODE_8_length_304307_cov_47.353508-processed-gene-1.24-mRNA-1	GH76(28-402)	GH76	GH76	N	3
augustus_masked-NODE_8_length_304307_cov_47.353508-processed-gene-1.7-mRNA-1	AA11(19-169)	AA11	N	N	2
augustus_masked-NODE_91_length_87482_cov_46.070505-processed-gene-0.35-mRNA-1	GT41(839-1086)	GT41	GT41	N	3
augustus_masked-NODE_92_length_87246_cov_39.869454-processed-gene-0.16-mRNA-1	GH3(86-312)	N	GH3	N	2
augustus_masked-NODE_96_length_85290_cov_46.965560-processed-gene-0.24-mRNA-1	GT8(16-291)	GT8	N	N	2
augustus_masked-NODE_98_length_84858_cov_48.024855-processed-gene-0.15-mRNA-1	GT22(9-391)	GT22	GT22	N	3
augustus_masked-NODE_9_length_284830_cov_44.416483-processed-gene-0.29-mRNA-1	GH55(29-755)	GH55	GH55	N	3
maker-NODE_100_length_82832_cov_45.525688-augustus-gene-0.29-mRNA-1	GH18(41-391)	GH18	GH18	N	3
maker-NODE_101_length_82813_cov_51.243246-augustus-gene-0.41-mRNA-1	GH88(58-427)	GH88	N	N	2
maker-NODE_108_length_79253_cov_44.901246-augustus-gene-0.24-mRNA-1	GH5_7(67-340)	GH5	CBM1+GH5_7	N	3
maker-NODE_108_length_79253_cov_44.901246-augustus-gene-0.30-mRNA-1	GH16(47-222)	N	N	N	1
maker-NODE_10_length_272981_cov_47.056631-augustus-gene-0.42-mRNA-1	GH76(32-403)	GH76	GH76	N	3
maker-NODE_110_length_78336_cov_48.540654-augustus-gene-0.35-mRNA-1	GH18(31-283)	GH18	N	N	2
maker-NODE_111_length_78315_cov_38.383499-augustus-gene-0.20-mRNA-1	GT76(18-436)	GT76	GT76	N	3
maker-NODE_111_length_78315_cov_38.383499-augustus-gene-0.23-mRNA-1	GH47(1-429)	GH47	GH47	N	3
maker-NODE_113_length_77961_cov_47.083061-augustus-gene-0.24-mRNA-1	GT3(18-654)	GT3	GT3	N	3
maker-NODE_116_length_75519_cov_41.332754-augustus-gene-0.19-mRNA-1	GT66(77-724)	GT66	GT66	N	3
maker-NODE_11_length_270656_cov_47.001638-augustus-gene-0.13-mRNA-1	AA6(4-197)	AA6	N	N	2
maker-NODE_11_length_270656_cov_47.001638-augustus-gene-0.20-mRNA-1	GT90(680-974)	GT90	GT90	N	3
maker-NODE_121_length_74372_cov_49.311428-augustus-gene-0.22-mRNA-1	GT15(141-351)	N	N	N	1
maker-NODE_121_length_74372_cov_49.311428-augustus-gene-0.25-mRNA-1	CE4(92-223)	CE4+CBM18	CBM18+CE4	N	3
maker-NODE_122_length_74366_cov_37.613626-augustus-gene-0.25-mRNA-1	GH3(95-316)	GH3	GH3	N	3
maker-NODE_123_length_74112_cov_47.436413-augustus-gene-0.6-mRNA-1	GH13_8(234-527)	GH13+CBM48	CBM48+GH13_8	N	3
maker-NODE_125_length_73241_cov_46.432147-augustus-gene-0.24-mRNA-1	AA7(24-237)	N	N	N	1
maker-NODE_128_length_72834_cov_48.084201-augustus-gene-0.33-mRNA-1	GT50(150-428)	GT50	GT50	N	3
maker-NODE_129_length_72421_cov_47.971146-augustus-gene-0.8-mRNA-1	GH47(36-604)	GH47	GH47	N	3
maker-NODE_12_length_262446_cov_48.377925-augustus-gene-1.61-mRNA-1	CE5(77-245)	CE5	N	N	2
maker-NODE_12_length_262446_cov_48.377925-augustus-gene-1.86-mRNA-1	GT21(51-371)	GT21	GT21	N	3
