Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-NQYQ01000001.1-processed-gene-11.15-mRNA-1	GH76(26-401)	GH76	GH76	N	3
augustus_masked-NQYQ01000001.1-processed-gene-11.18-mRNA-1	GT90(384-691)	GT90	GT90	N	3
augustus_masked-NQYQ01000001.1-processed-gene-11.27-mRNA-1	AA11(19-168)	AA11	N	N	2
augustus_masked-NQYQ01000001.1-processed-gene-12.26-mRNA-1	GT35(163-856)	GT35	GT35	N	3
augustus_masked-NQYQ01000001.1-processed-gene-14.0-mRNA-1	GH76(3-364)	GH76	GH76	N	3
augustus_masked-NQYQ01000001.1-processed-gene-21.38-mRNA-1	GH1(2-469)	GH1	GH1	N	3
augustus_masked-NQYQ01000001.1-processed-gene-23.16-mRNA-1	GT2(120-286)	GT2	GT2	N	3
augustus_masked-NQYQ01000001.1-processed-gene-23.21-mRNA-1	AA9(4-224)	AA9	N	N	2
augustus_masked-NQYQ01000001.1-processed-gene-3.45-mRNA-1	GH5_12(15-549)	GH5	GH5_12	N	3
augustus_masked-NQYQ01000001.1-processed-gene-6.26-mRNA-1	GH18(273-478)	GH18+CBM18+CBM50	N	N	2
augustus_masked-NQYQ01000001.1-processed-gene-7.35-mRNA-1	GT1(11-437)	N	N	N	1
augustus_masked-NQYQ01000002.1-processed-gene-1.3-mRNA-1	GH89(121-733)	N	GH89	N	2
augustus_masked-NQYQ01000002.1-processed-gene-16.15-mRNA-1	GT32(82-164)	GT32	GT32	N	3
augustus_masked-NQYQ01000002.1-processed-gene-4.6-mRNA-1	GT48(868-1648)	GT48	GT48	N	3
augustus_masked-NQYQ01000003.1-processed-gene-11.17-mRNA-1	GT8(16-205)	GT8	GT8	N	3
augustus_masked-NQYQ01000003.1-processed-gene-2.49-mRNA-1	GH72(16-332)	GH72	GH72	N	3
augustus_masked-NQYQ01000003.1-processed-gene-3.31-mRNA-1	GT64(95-340)	N	N	N	1
augustus_masked-NQYQ01000004.1-processed-gene-1.24-mRNA-1	CE10(444-671)	N	N	N	1
augustus_masked-NQYQ01000004.1-processed-gene-14.22-mRNA-1	CE10(75-323)	N	N	N	1
augustus_masked-NQYQ01000004.1-processed-gene-5.23-mRNA-1	GT39(63-307)	GT39	GT39	N	3
augustus_masked-NQYQ01000005.1-processed-gene-0.19-mRNA-1	GT62(71-336)	GT62	GT62	N	3
augustus_masked-NQYQ01000005.1-processed-gene-1.23-mRNA-1	GH38(260-517)	GH38	GH38	N	3
augustus_masked-NQYQ01000005.1-processed-gene-9.21-mRNA-1	CE4(87-220)	CE4	N	N	2
augustus_masked-NQYQ01000006.1-processed-gene-1.20-mRNA-1	GH18(32-275)	GH18	GH18	N	3
augustus_masked-NQYQ01000006.1-processed-gene-10.43-mRNA-1	CE10(71-392)	N	N	N	1
augustus_masked-NQYQ01000006.1-processed-gene-3.34-mRNA-1	CE10(114-539)	N	N	N	1
