Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-NODE_100_length_88382_cov_48.767492-processed-gene-0.10-mRNA-1	GH16(93-315)	N	N	N	1
augustus_masked-NODE_10_length_533797_cov_51.760206-processed-gene-3.23-mRNA-1	GT4(254-380)	GT4	GT4	N	3
augustus_masked-NODE_113_length_77813_cov_49.668486-processed-gene-0.14-mRNA-1	GH31(246-817)	GH31	GH31	N	3
augustus_masked-NODE_113_length_77813_cov_49.668486-processed-gene-0.19-mRNA-1	GH3(34-245)	GH3	GH3	N	3
augustus_masked-NODE_114_length_77528_cov_51.197749-processed-gene-0.30-mRNA-1	GH5_5(23-315)	GH5	GH5_5	N	3
augustus_masked-NODE_114_length_77528_cov_51.197749-processed-gene-0.33-mRNA-1	GT8(16-286)	GT8	N	N	2
augustus_masked-NODE_11_length_501630_cov_42.910320-processed-gene-1.21-mRNA-1	GH81(30-678)	GH81	GH81	N	3
augustus_masked-NODE_11_length_501630_cov_42.910320-processed-gene-1.29-mRNA-1	GH115(20-616)	GH115	GH115	N	3
augustus_masked-NODE_121_length_74852_cov_52.773168-processed-gene-0.17-mRNA-1	AA7(30-227)	N	N	N	1
augustus_masked-NODE_127_length_64000_cov_54.716719-processed-gene-0.17-mRNA-1	GH16(89-332)	GH16	N	N	2
augustus_masked-NODE_12_length_473019_cov_49.377120-processed-gene-3.53-mRNA-1	CE4(76-205)	CE4	N	N	2
augustus_masked-NODE_131_length_57507_cov_30.986947-processed-gene-0.0-mRNA-1	GT58(401-766)	GT58	GT58	N	3
augustus_masked-NODE_13_length_438591_cov_42.476801-processed-gene-2.29-mRNA-1	GH92(349-862)	GH92	GH92	N	3
augustus_masked-NODE_13_length_438591_cov_42.476801-processed-gene-3.28-mRNA-1	GH18(41-270)	GH18	GH18	N	3
augustus_masked-NODE_13_length_438591_cov_42.476801-processed-gene-3.49-mRNA-1	CE10(24-310)	N	N	N	1
augustus_masked-NODE_13_length_438591_cov_42.476801-processed-gene-3.50-mRNA-1	GT59(152-607)	GT59	GT59	N	3
