Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-NODE_100_length_71095_cov_34.626775-processed-gene-0.33-mRNA-1	GH16(74-327)	GH16	N	N	2
augustus_masked-NODE_104_length_70301_cov_36.029512-processed-gene-0.100-mRNA-1	GT4(218-344)	GT4	GT4	N	3
augustus_masked-NODE_108_length_69443_cov_39.214409-processed-gene-0.80-mRNA-1	GH16(36-260)	N	N	N	1
augustus_masked-NODE_12_length_149985_cov_36.007701-processed-gene-0.63-mRNA-1	GH20(202-577)	GH20	GH20	N	3
augustus_masked-NODE_131_length_61178_cov_32.500238-processed-gene-0.6-mRNA-1	CE10(93-349)	N	N	N	1
augustus_masked-NODE_140_length_59175_cov_32.940354-processed-gene-0.28-mRNA-1	GH2(58-502)	GH2	GH2	N	3
augustus_masked-NODE_1411_length_800_cov_1.008915-processed-gene-0.1-mRNA-1	GT76(18-230)	GT76	N	N	2
augustus_masked-NODE_142_length_58255_cov_38.505522-processed-gene-0.63-mRNA-1	GH3(99-348)	GH3	GH3	N	3
augustus_masked-NODE_14_length_146553_cov_38.626508-processed-gene-0.290-mRNA-1	AA1_2(40-377)	AA1	AA1_2	N	3
augustus_masked-NODE_14_length_146553_cov_38.626508-processed-gene-0.318-mRNA-1	AA11(18-219)	AA11	N	N	2
augustus_masked-NODE_151_length_57066_cov_35.477581-processed-gene-0.8-mRNA-1	GH55(27-742)	N	GH55	N	2
augustus_masked-NODE_15_length_143457_cov_37.139747-processed-gene-0.22-mRNA-1	GH3(187-436)	GH3	GH3	N	3
augustus_masked-NODE_170_length_52370_cov_34.307812-processed-gene-0.5-mRNA-1	GT20(9-283)	GT20	GT20	N	3
augustus_masked-NODE_175_length_51735_cov_43.016800-processed-gene-0.18-mRNA-1	CE3(8-159)	CE3	CE3	N	3
augustus_masked-NODE_18_length_134355_cov_36.180342-processed-gene-0.43-mRNA-1	GT32(95-171)	N	N	N	1
augustus_masked-NODE_191_length_49229_cov_35.296729-processed-gene-0.13-mRNA-1	CE4(84-213)	CE4	N	N	2
augustus_masked-NODE_194_length_48248_cov_37.630785-processed-gene-0.2-mRNA-1	GH12(89-235)	GH12	N	N	2
augustus_masked-NODE_215_length_44052_cov_31.812385-processed-gene-0.41-mRNA-1	GH49(6-551)	GH49	GH49	N	3
augustus_masked-NODE_21_length_125421_cov_45.048302-processed-gene-0.16-mRNA-1	GH92(269-789)	GH92	GH92	N	3
augustus_masked-NODE_222_length_43002_cov_39.451708-processed-gene-0.8-mRNA-1	GH55(31-758)	GH55	GH55	N	3
augustus_masked-NODE_232_length_42170_cov_35.674595-processed-gene-0.0-mRNA-1	AA11(22-213)	AA11	N	N	2
augustus_masked-NODE_25_length_117599_cov_37.425037-processed-gene-0.82-mRNA-1	CE10(34-310)	N	N	N	1
augustus_masked-NODE_260_length_39211_cov_32.921733-processed-gene-0.16-mRNA-1	GH30_3(64-485)	GH30	GH30_3	N	3
