id	MainDescription 	type	AccessoryDescription	
3000193	tetT	CARD	Tet(T) is a ribosomal protection protein of streptococci. It is similar to Tet(Q).	
3000421	norB	CARD	"NorB is a multidrug efflux pump in Staphylococcus aureus that confers resistance to fluoroquinolones and other structurally unrelated antibiotics like tetracycline. It shares 30% similarity with NorB, and is a structural homolog of Blt of Bacillus subtilis. It is regulated by mgrA, also known as NorR."	
3000843	MUS-1	CARD	MUS-1 is a chromosome-encoded beta-lactamase from Myroides odoratus and Myroides odoratimimus.	
3000844	TUS-1	CARD	TUS-1 is a chromosome-encoded beta-lactamase from Myroides odoratus and Myroides odoratimimus	
3000849	SFH-1	CARD	SFH-1 confers resistance to carbapenems in Serratia fonticola.	
3001816	ACC-2	CARD	ACC-2 is a beta-lactamase found in Hafnia alvei	
3001817	ACC-3	CARD	ACC-3 is a beta-lactamase found in Hafnia alvei	
3002135	DHA-6	CARD	DHA-6 is a beta-lactamase found in the Enterobacteriaceae family	
3002143	DHA-12	CARD	DHA-12 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.	
3002494	SRT-2	CARD	"SRT-2, isolated from Serratia marcescens, is a chromosomal beta-lactamase that confers resistance to cefotaxime"	
3002516	OCH-3	CARD	OCH-3 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi	
3002522	novA	CARD	"A type III ABC transporter, identified on the novobiocin biosynthetic gene cluster, involved in the transport and resistance of novobiocin."	
3002878	BcII	CARD	Bacillus cereus beta-lactamase II is a zinc metallo-beta-lactamase that hydrolyzes a large number of penicillins and cephalosporins in the Bacillus cereus strain 5/B/6	
3002883	rgt1438	CARD	rgt1438 is a glycosyltransferase that confers rifampin resistance in Streptomyces	
3002892	otr(B)	CARD	otr(B) is a tetracycline resistance efflux pump found in Streptomyces rimosus	
3002893	tcr3	CARD	tcr3 is a tetracycline efflux pump that confers self-resistance to Kitasatospora aureofaciens	
3003026	fusH	CARD	fusH is a highly specific fusidic acid esterase found in Streptomyces lividans	
3003361	Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A	CARD	Sequence variants of Planobispora rosea elongation factor Tu that confer resistance to inhibitor GE2270A	
3003392	Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid	CARD	"katG is a catalase-peroxidase that catalyzes the activation of isoniazid. Isoniazid inhibits mycolic acid synthesis, which prevents cell wall synthesis in mycobacteria. Mutations in katG results in inability to activate isoniazid. Over 280 different mutations have been documented in PubMed for katG, with mutations to Ser315 being the most prevalent."	
3003854	ADC-8	CARD	ADC-8 is a beta-lactamase found in Acinetobacter sp.	
3003942	abcA	CARD	"AbcA is a multidrug resistant ABC transporter that confers resistance to methicillin, daptomycin, cefotaxime, and moenomycin."	
3004032	tetA(46)	CARD	"tetA(46) is a subunit of tetAB(46), a heterodimeric ABC transporter, that is required for conferring tetracycline resistance in Streptococcus australis isolated from the oral cavity."	
3004035	tetA(60)	CARD	"tetA(60) is a subunit of tetAB(60), an ABC transporter that confers resistance to tetracycline and tigercycline identified by screening a human saliva metagenomic library in Escherichia coli, which is required for resistance."	
3004289	Vibrio cholerae varG	CARD	"varG is an Ambler class B metallo-beta-lactamase found on the antibiotic resistance var regulon in Vibrio cholerae, along with an antibiotic efflux pump varABCDEF. These genes are organized as a regulon under the control of VarR transcriptional activator. VarG was shown to have beta-lactamase activity against penicillins, carbapenems and cephalosporins in-vitro. Described by Lin HV et al. 2017."	
3004290	Escherichia coli ampC beta-lactamase	CARD	A class C ampC beta-lactamase (cephalosporinase) enzyme described in Escherichia coli shown clinically to confer resistance to penicillin-like and cephalosporin-class antibiotics.	
3004574	Acinetobacter baumannii AbaQ	CARD	AbaQ is an MFS transporter mainly involved in the extrusion of quinolone-type drugs in A. baumannii	
3004581	tet(48)	CARD	A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.	
3004582	tet(49)	CARD	A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.	
3004584	tet(50)	CARD	A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.	
3004587	tet(52)	CARD	A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.	
3004589	tet(53)	CARD	A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.	
3004591	tet(55)	CARD	A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.	
3004611	Escherichia coli ampC1 beta-lactamase	CARD	An ampC-like beta-lactamase identified from Escherichia coli.	
3004612	Escherichia coli ampH beta-lactamase	CARD	AmpH is a class C ampC-like beta-lactamase and penicillin-binding protein identified in Escherichia coli.	
A0ST43_CERNC	Unknown	VIRULENCE	NA	
A1CIY3_ASPCL	Unknown	VIRULENCE	NA	
A1CIY4_ASPCL	Unknown	VIRULENCE	NA	
A3LNY8_PICST	Unknown	VIRULENCE	NA	
A4QPV0_MAGO7	SIMILARITY: Belongs to the RNase T2 family.	VIRULENCE	NA	
A4QRN5_MAGO7	Unknown	VIRULENCE	NA	
A4QVA7_MAGO7	Unknown	VIRULENCE	NA	
A4QVD7_MAGO7	Unknown	VIRULENCE	NA	
A4R0W3_MAGO7	Unknown	VIRULENCE	NA	
A4R566_MAGO7	Unknown	VIRULENCE	NA	
A4RGG9_MAGO7	SIMILARITY: Belongs to the short-chain dehydrogenases/reductases (SDR) family.	VIRULENCE	NA	
A4RJR0_MAGO7	Unknown	VIRULENCE	NA	
A4ULI5_MYCGR	COFACTOR: Heme group (By similarity).	VIRULENCE	NA	
A4ULJ0_MYCGR	COFACTOR: Heme group (By similarity).	VIRULENCE	NA	
A5H456_MYCGR	Unknown	VIRULENCE	NA	
A5HF03_MAGGR	Unknown	VIRULENCE	NA	
A6N6J8_FUSOX	SIMILARITY: Contains 1 Zn(2)-C6 fungal-type DNA-binding domain.	VIRULENCE	NA	
A6R119_AJECN	Unknown	VIRULENCE	NA	
A6R3U9_AJECN	Unknown	VIRULENCE	NA	
A6ZKV8_YEAS7	CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.	VIRULENCE	NA	
A6ZYV3_YEAS7	CATALYTIC ACTIVITY: Thioredoxin + NADP(+) = thioredoxin disulfide + NADPH.	VIRULENCE	NA	
A7ULH9_CANGY	Unknown	VIRULENCE	NA	
